normed_text_unique,augmented_name,count
Trường THPT Phú Bình,"['Trường THPT Phú Bình', 'truong thpt phu binh', 'truong truong pho thong trung hoc phu binh', 'pho thong trung hoc phu binh', 'truong pho thong phu binh', 'ptth phu binh', 'truong tthpt phu binh', 'truong cap 3 phu binh', 'truong trung hoc pho thong phu binh', 'pt phu binh', 'truong truong trung hoc pho thong phu binh', 'truong pt phu binh', 'cap 3 phu binh', 'pho thong phu binh', 'truong pho thong trung hoc phu binh', 'truong ptth phu binh', 'thpt phu binh', 'trung hoc pho thong phu binh', 'Trường THPTTH Phú Bình', 'Trường THPT Phú Bình - Thái Nguyên', 'Trường THPT Phú Bình - Thái Nguyên', 'Trường THPT phu binh']",22
trung cấp Quản trị Nhà hàng Khách sạn,"['trung cấp Quản trị Nhà hàng Khách sạn', 'trung cap quan tri nha hang khach san', 'da hoc truong trung cap quan ly nha hang khach san o tp hcm']",3
Trường THPT Nguyễn Du,"['Trường THPT Nguyễn Du', 'truong thpt nguyen du', 'truong pho thong trung hoc nguyen du', 'pho thong trung hoc nguyen du', 'truong pho thong nguyen du', 'pt nguyen du', 'ptth nguyen du', 'truong truong trung hoc pho thong nguyen du', 'truong trung hoc pho thong nguyen du', 'truong ptth nguyen du', 'cap 3 nguyen du', 'pho thong nguyen du', 'truong cap 3 nguyen du', 'trung hoc pho thong nguyen du', 'truong tthpt nguyen du', 'truong truong pho thong trung hoc nguyen du', 'thpt nguyen du', 'truong pt nguyen du', 'Trường THPT Nguyễn Du - Đồng Xoài - BP', 'Truong PTTH Nguyen Du - Kien Xuong - Thai Binh', 'Trường THPT Nguyễn Du, Hải', 'truong Trường THPT nguyen du', 'Pt nguyen du_thanh oai', 'Trường THPT nguyen du', 'Trường THPT Nguyễn Du', 'Trường THPT nguyen du', 'Trường THPT nguyen du', 'Trường THPT Nguyễn Du Bảo Lộc', 'Trường THPT nguyen du', 'Trường THPT Nguyễn Du Trần Cao', 'Trường THPT nguyen du', 'Trường THPT nguyen du', 'Nguyễn Du Hòa Bình', 'Trường THPT nguyen du', 'TTrường THPT Nguyễn Du - Thanh Oai - Hà Nội', 'trung hoc phổ thông Nguyễn du', 'Trường THPT Nguyễn Du-Hà Tinh', 'TH PT NGUYEN DU HUE', 'Nguyễn Du Q.10', 'Trường Trung Học Phổ Thông Nguyễn Du', 'Trường THPT nguyen du', 'Trường THPT nguyen du', 'Truog Trường THPT Nguyen Du krog Pa Gia Lai', 'Trường THPT nguyen du tu 2018', 'Trường THPT Nguyen Du .Thanh pho Hai Duong', 'Trường THPT Nguyễn Du- Thanh Oai - Hà Nội', 'Trường THPT nguyen du', 'Truong PTTH Nguyen Du', 'Trường THPT nguyen du', 'Trường THPT nguyen du', 'Trường THPT Nguyễn Du', 'Trường THPT nguyễn du Thanh Oai', 'Trung Học Phổ Thông Nguyễn Du thanh pho hai duong']",53
TT GDNN-GDTX Nam Đàn,"['TT GDNN-GDTX Nam Đàn', 'tt gdnn gdtx nam dan', 'tt gdnn ttgdtx nam dan', 'tt gdnn trung tam giao duc thuong xuyen nam dan', 'tt gdnn trung tam gdtx nam dan', 'tt gdnn giao duc thuong xuyen nam dan', 'ttgdnn gdtx nam dan']",7
Học Viện An ninh Nhân Dân,"['Học Viện An ninh Nhân Dân', 'hoc vien an ninh nhan dan', 'Hoc Vien An ning', 'Học Viện Ăn Nhởi Nói Dóc', 'Trường đại học an ninh', 'Học viện a ninh nhân dân', 'Trường Đại Học An ninh Hà Nội', 'đại học công an nhân dân', 'Trường HV ANND', 'Trường Trung Cấp An Ninh Nhân Dân II', 'Trung Cấp An Ninh Nhân Dân 1', 'hoc vien an ninh, hoc vien canh sat, dai hoc pccc', 'Hocvienanninh', 'học viện ăn mày', 'Dai Hoc An Ninh_Ha Noi', 'hoc vien an njnh']",16
Đại Học Xây Dựng Hà Nội,"['Đại Học Xây Dựng Hà Nội', 'dai hoc xay dung ha noi', 'daj hoc xay dung ha noi', 'truong dh xay dung ha noi', 'dh xay dung ha noi', 'truong dai hoc xay dung ha noi', 'NUCE', 'dai hoc xdhn', 'dhxd ha noi', '47 kt3 dhxd hn', ' NUCE', ' National University of Civil Engineering ', 'truong dai hoc xay dung ha noi k46 xdct', 'nuce- dai hoc xay dung', 'daj hoc xay dung', 'daihocxaydung', 'truog daj hoc lien thong xay dung']",17
Trường Mẫu Giáo Bông Trang,"['Trường Mẫu Giáo Bông Trang', 'truong mau giao bong trang', 'Mẫu Giáo Bông Trang']",3
Cao Đẳng nghề Phú Yên,"['Cao Đẳng nghề Phú Yên', 'cao dang nghe phu yen', 'truong cao dang nghe phu yen', 'cd nghe phu yen', 'cao dang nghe phu yen']",5
Trường Đại Học Quy Nhơn,"['Trường Đại Học Quy Nhơn', 'truong dai hoc quy nhon', 'truong daj hoc quy nhon', 'daj hoc quy nhon', 'truong dh quy nhon', 'dh quy nhon', 'truong truong dh quy nhon', 'truong truong dai hoc quy nhon', 'dai hoc quy nhon', 'Trường ĐH Quy Nhơn', 'Đại Học Sư Phạm Quy Nhơn', 'ĐH quy nhon', 'DaiHoc QuyNhon', 'QNU', 'Đại Học Sư Phạm Quy Nhơn', 'university Quy Nhon', 'Trường ĐẠI HỌC QUI NHƠN']",17
TT GDNN-GDTX Quận Phú Nhuận,"['TT GDNN-GDTX Quận Phú Nhuận', 'tt gdnn gdtx quan phu nhuan', 'tt gdnn trung tam giao duc thuong xuyen quan phu nhuan', 'tt gdnn ttgdtx quan phu nhuan', 'tt gdnn giao duc thuong xuyen quan phu nhuan', 'tt gdnn trung tam gdtx quan phu nhuan', 'TT GDTX Phan Đăng Lưu Phú Nhuận']",7
