original,augmented_name,count
Trường Tiểu học Phước Vinh,"['Trường Tiểu học Phước Vinh', 'truong tieu hoc phuoc vinh', 'truong th phuoc vinh', 'tieu hoc phuoc vinh', 'truong truong tieu hoc phuoc vinh', 'th phuoc vinh']",6
Trường Tiểu học Phước Lộc,"['Trường Tiểu học Phước Lộc', 'truong tieu hoc phuoc loc', 'truong truong tieu hoc phuoc loc', 'tieu hoc phuoc loc', 'truong th phuoc loc', 'th phuoc loc']",6
Trường Tiểu học Phước Hòa,"['Trường Tiểu học Phước Hòa', 'truong tieu hoc phuoc hoa', 'truong th phuoc hoa', 'truong truong tieu hoc phuoc hoa', 'th phuoc hoa', 'tieu hoc phuoc hoa']",6
Trường Tiểu học Phạm Tự Điểm,"['Trường Tiểu học Phạm Tự Điểm', 'truong tieu hoc pham tu diem', 'truong th pham tu diem', 'tieu hoc pham tu diem', 'truong truong tieu hoc pham tu diem', 'th pham tu diem']",6
Trường Tiểu học Trí Bình,"['Trường Tiểu học Trí Bình', 'truong tieu hoc tri binh', 'truong th tri binh', 'th tri binh', 'tieu hoc tri binh', 'truong truong tieu hoc tri binh']",6
Trường THCS Hảo Đước,"['Trường THCS Hảo Đước', 'truong thcs hao duoc', 'truong cs hao duoc', 'trung hoc co so hao duoc', 'truong cap 2 hao duoc', 'tthcs hao duoc', 'truong co so hao duoc', 'truong trung hoc co so hao duoc', 'truong tthcs hao duoc', 'cs hao duoc', 'co so hao duoc', 'truong truong cap 2 hao duoc', 'truong truong trung hoc co so hao duoc', 'cap 2 hao duoc', 'thcs hao duoc', 'truong truong thcs hao duoc']",16
Trường THCS Phước Vinh,"['Trường THCS Phước Vinh', 'truong thcs phuoc vinh', 'truong cs phuoc vinh', 'trung hoc co so phuoc vinh', 'truong truong thcs phuoc vinh', 'truong cap 2 phuoc vinh', 'cs phuoc vinh', 'cap 2 phuoc vinh', 'truong trung hoc co so phuoc vinh', 'truong truong cap 2 phuoc vinh', 'truong truong trung hoc co so phuoc vinh', 'tthcs phuoc vinh', 'truong tthcs phuoc vinh', 'thcs phuoc vinh', 'co so phuoc vinh', 'truong co so phuoc vinh']",16
Trường THCS Long Vĩnh,"['Trường THCS Long Vĩnh', 'truong thcs long vinh', 'cs long vinh', 'truong truong trung hoc co so long vinh', 'truong trung hoc co so long vinh', 'trung hoc co so long vinh', 'truong tthcs long vinh', 'co so long vinh', 'truong cs long vinh', 'tthcs long vinh', 'truong truong thcs long vinh', 'cap 2 long vinh', 'thcs long vinh', 'truong cap 2 long vinh', 'truong co so long vinh', 'truong truong cap 2 long vinh']",16
Trường THCS Ninh Điền,"['Trường THCS Ninh Điền', 'truong thcs ninh dien', 'truong truong trung hoc co so ninh dien', 'thcs ninh dien', 'truong cs ninh dien', 'cs ninh dien', 'cap 2 ninh dien', 'truong trung hoc co so ninh dien', 'truong truong cap 2 ninh dien', 'truong co so ninh dien', 'tthcs ninh dien', 'truong truong thcs ninh dien', 'trung hoc co so ninh dien', 'co so ninh dien', 'truong tthcs ninh dien', 'truong cap 2 ninh dien']",16
Trường THCS Hòa Hội,"['Trường THCS Hòa Hội', 'truong thcs hoa hoi', 'truong tthcs hoa hoi', 'truong trung hoc co so hoa hoi', 'co so hoa hoi', 'truong cap 2 hoa hoi', 'truong truong thcs hoa hoi', 'tthcs hoa hoi', 'truong truong trung hoc co so hoa hoi', 'truong co so hoa hoi', 'cap 2 hoa hoi', 'thcs hoa hoi', 'truong cs hoa hoi', 'cs hoa hoi', 'trung hoc co so hoa hoi', 'truong truong cap 2 hoa hoi']",16
Trường THCS Hòa Thạnh,"['Trường THCS Hòa Thạnh', 'truong thcs hoa thanh', 'truong cap 2 hoa thanh', 'co so hoa thanh', 'truong cs hoa thanh', 'truong trung hoc co so hoa thanh', 'truong truong thcs hoa thanh', 'thcs hoa thanh', 'truong truong trung hoc co so hoa thanh', 'tthcs hoa thanh', 'truong co so hoa thanh', 'truong tthcs hoa thanh', 'cs hoa thanh', 'truong truong cap 2 hoa thanh', 'cap 2 hoa thanh', 'trung hoc co so hoa thanh']",16
Trường THCS Thành Long,"['Trường THCS Thành Long', 'truong thcs thanh long', 'truong tthcs thanh long', 'truong cap 2 thanh long', 'truong truong cap 2 thanh long', 'cap 2 thanh long', 'truong trung hoc co so thanh long', 'tthcs thanh long', 'cs thanh long', 'truong truong trung hoc co so thanh long', 'truong cs thanh long', 'co so thanh long', 'trung hoc co so thanh long', 'thcs thanh long', 'truong co so thanh long', 'truong truong thcs thanh long']",16
Trường THCS Trí Bình,"['Trường THCS Trí Bình', 'truong thcs tri binh', 'truong truong trung hoc co so tri binh', 'truong tthcs tri binh', 'thcs tri binh', 'tthcs tri binh', 'truong truong thcs tri binh', 'truong trung hoc co so tri binh', 'truong truong cap 2 tri binh', 'truong cs tri binh', 'truong cap 2 tri binh', 'cap 2 tri binh', 'co so tri binh', 'trung hoc co so tri binh', 'cs tri binh', 'truong co so tri binh']",16
Trường THCS Thái Bình,"['Trường THCS Thái Bình', 'truong thcs thai binh', 'truong truong trung hoc co so thai binh', 'truong trung hoc co so thai binh', 'co so thai binh', 'truong co so thai binh', 'truong truong thcs thai binh', 'cap 2 thai binh', 'truong tthcs thai binh', 'truong cap 2 thai binh', 'trung hoc co so thai binh', 'truong cs thai binh', 'cs thai binh', 'truong truong cap 2 thai binh', 'thcs thai binh', 'tthcs thai binh']",16
Trường THCS Võ Văn Truyện,"['Trường THCS Võ Văn Truyện', 'truong thcs vo van truyen', 'truong truong trung hoc co so vo van truyen', 'truong truong cap 2 vo van truyen', 'truong tthcs vo van truyen', 'truong cap 2 vo van truyen', 'co so vo van truyen', 'trung hoc co so vo van truyen', 'truong cs vo van truyen', 'cs vo van truyen', 'truong trung hoc co so vo van truyen', 'truong co so vo van truyen', 'tthcs vo van truyen', 'truong truong thcs vo van truyen', 'thcs vo van truyen', 'cap 2 vo van truyen']",16
