original,augmented_name,count
THPT Nguyễn Trãi-Ba Đình,"['THPT Nguyễn Trãi-Ba Đình', 'thpt nguyen trai ba dinh', 'pt nguyen trai ba dinh', 'pho thong nguyen trai ba dinh', 'cap 3 nguyen trai ba dinh', 'ptth nguyen trai ba dinh', 'truong cap 3 nguyen trai ba dinh', 'pho thong trung hoc nguyen trai ba dinh', 'truong thpt nguyen trai ba dinh', 'trung hoc pho thong nguyen trai ba dinh', 'truong trung hoc pho thong nguyen trai ba dinh']",11
THPT Phan Đình Phùng,"['THPT Phan Đình Phùng', 'thpt phan dinh phung', 'trung hoc pho thong phan dinh phung', 'pho thong phan dinh phung', 'pt phan dinh phung', 'truong trung hoc pho thong phan dinh phung', 'cap 3 phan dinh phung', 'truong thpt phan dinh phung', 'ptth phan dinh phung', 'truong cap 3 phan dinh phung', 'pho thong trung hoc phan dinh phung']",11
THPT Phạm Hồng Thái,"['THPT Phạm Hồng Thái', 'thpt pham hong thai', 'cap 3 pham hong thai', 'pho thong pham hong thai', 'trung hoc pho thong pham hong thai', 'ptth pham hong thai', 'pt pham hong thai', 'pho thong trung hoc pham hong thai', 'truong thpt pham hong thai', 'truong trung hoc pho thong pham hong thai', 'truong cap 3 pham hong thai']",11
"TH,THCS&THPT Thực nghiệm Khoa học Giáo dục","['TH,THCS&THPT Thực nghiệm Khoa học Giáo dục', 'th thcs thpt thuc nghiem khoa hoc giao duc', 'th thcs trung hoc pho thong thuc nghiem khoa hoc giao duc', 'th tthcs thpt thuc nghiem khoa hoc giao duc', 'th & thcs thpt thuc nghiem khoa hoc giao duc', 'th thcs & thpt thuc nghiem khoa hoc giao duc', 'th thcs truong cap 3 thuc nghiem khoa hoc giao duc', 'th trung hoc co so thpt thuc nghiem khoa hoc giao duc', 'th thcs pt thuc nghiem khoa hoc giao duc', 'th co so thpt thuc nghiem khoa hoc giao duc', 'th cs thpt thuc nghiem khoa hoc giao duc', 'th thcs truong trung hoc pho thong thuc nghiem khoa hoc giao duc', 'th thcs pho thong thuc nghiem khoa hoc giao duc', 'th thcs cap 3 thuc nghiem khoa hoc giao duc', 'th cap 2 thpt thuc nghiem khoa hoc giao duc', 'th truong thcs thpt thuc nghiem khoa hoc giao duc', 'th thcs ptth thuc nghiem khoa hoc giao duc', 'th thcs pho thong trung hoc thuc nghiem khoa hoc giao duc', 'th truong trung hoc co so thpt thuc nghiem khoa hoc giao duc', 'th thcs truong thpt thuc nghiem khoa hoc giao duc', 'th truong cap 2 thpt thuc nghiem khoa hoc giao duc']",21
THPT Đinh Tiên Hoàng-Ba Đình,"['THPT Đinh Tiên Hoàng-Ba Đình', 'thpt dinh tien hoang ba dinh', 'truong cap 3 dinh tien hoang ba dinh', 'truong trung hoc pho thong dinh tien hoang ba dinh', 'trung hoc pho thong dinh tien hoang ba dinh', 'cap 3 dinh tien hoang ba dinh', 'ptth dinh tien hoang ba dinh', 'pt dinh tien hoang ba dinh', 'pho thong trung hoc dinh tien hoang ba dinh', 'truong thpt dinh tien hoang ba dinh', 'pho thong dinh tien hoang ba dinh']",11
THPT Hoàng Long,"['THPT Hoàng Long', 'thpt hoang long', 'pt hoang long', 'pho thong trung hoc hoang long', 'pho thong hoang long', 'truong cap 3 hoang long', 'cap 3 hoang long', 'trung hoc pho thong hoang long', 'truong thpt hoang long', 'ptth hoang long', 'truong trung hoc pho thong hoang long']",11
GDNN-GDTX quận Ba Đình,"['GDNN-GDTX quận Ba Đình', 'gdnn gdtx quan ba dinh', 'gdnn trung tam gdtx quan ba dinh', 'gdnn ttgdtx quan ba dinh', 'gdnn trung tam giao duc thuong xuyen quan ba dinh', 'gdnn giao duc thuong xuyen quan ba dinh']",6
GDTX Ba Đình,"['GDTX Ba Đình', 'gdtx ba dinh', 'ttgdtx ba dinh', 'trung tam giao duc thuong xuyen ba dinh', 'trung tam gdtx ba dinh', 'giao duc thuong xuyen ba dinh']",6
CĐ nghề Hùng Vương,"['CĐ nghề Hùng Vương', 'cd nghe hung vuong']",2
CĐ nghề VIGLACERA,"['CĐ nghề VIGLACERA', 'cd nghe viglacera']",2
THPT Trần Phú-Hoàn Kiếm,"['THPT Trần Phú-Hoàn Kiếm', 'thpt tran phu hoan kiem', 'pho thong tran phu hoan kiem', 'truong trung hoc pho thong tran phu hoan kiem', 'pt tran phu hoan kiem', 'truong thpt tran phu hoan kiem', 'trung hoc pho thong tran phu hoan kiem', 'ptth tran phu hoan kiem', 'pho thong trung hoc tran phu hoan kiem', 'cap 3 tran phu hoan kiem', 'truong cap 3 tran phu hoan kiem']",11
THPT Việt Đức,"['THPT Việt Đức', 'thpt viet duc', 'pho thong viet duc', 'truong thpt viet duc', 'trung hoc pho thong viet duc', 'cap 3 viet duc', 'truong cap 3 viet duc', 'ptth viet duc', 'truong trung hoc pho thong viet duc', 'pt viet duc', 'pho thong trung hoc viet duc']",11
GDNN-GDTX Nguyễn Văn Tố quận Hoàn Kiếm,"['GDNN-GDTX Nguyễn Văn Tố quận Hoàn Kiếm', 'gdnn gdtx nguyen van to quan hoan kiem', 'gdnn ttgdtx nguyen van to quan hoan kiem', 'gdnn trung tam gdtx nguyen van to quan hoan kiem', 'gdnn trung tam giao duc thuong xuyen nguyen van to quan hoan kiem', 'gdnn giao duc thuong xuyen nguyen van to quan hoan kiem']",6
GDTX Nguyễn Văn Tố,"['GDTX Nguyễn Văn Tố', 'gdtx nguyen van to', 'giao duc thuong xuyen nguyen van to', 'trung tam gdtx nguyen van to', 'ttgdtx nguyen van to', 'trung tam giao duc thuong xuyen nguyen van to']",6
Cao đẳng Nghệ thuật Hà Nội,"['Cao đẳng Nghệ thuật Hà Nội', 'cao dang nghe thuat ha noi', 'cd nghe thuat ha noi', 'truong cao dang nghe thuat ha noi']",4
TC nghề đồng hồ - điện tử - tin học HN,"['TC nghề đồng hồ - điện tử - tin học HN', 'tc nghe dong ho dien tu tin hoc hn']",2
THPT Đoàn Kết-Hai Bà Trưng,"['THPT Đoàn Kết-Hai Bà Trưng', 'thpt doan ket hai ba trung', 'truong cap 3 doan ket hai ba trung', 'trung hoc pho thong doan ket hai ba trung', 'truong thpt doan ket hai ba trung', 'pho thong trung hoc doan ket hai ba trung', 'pho thong doan ket hai ba trung', 'ptth doan ket hai ba trung', 'cap 3 doan ket hai ba trung', 'truong trung hoc pho thong doan ket hai ba trung', 'pt doan ket hai ba trung']",11
THPT Thăng Long,"['THPT Thăng Long', 'thpt thang long', 'pt thang long', 'cap 3 thang long', 'truong cap 3 thang long', 'truong thpt thang long', 'ptth thang long', 'trung hoc pho thong thang long', 'pho thong thang long', 'pho thong trung hoc thang long', 'truong trung hoc pho thong thang long']",11
THPT Trần Nhân Tông,"['THPT Trần Nhân Tông', 'thpt tran nhan tong', 'trung hoc pho thong tran nhan tong', 'truong trung hoc pho thong tran nhan tong', 'pho thong trung hoc tran nhan tong', 'ptth tran nhan tong', 'pho thong tran nhan tong', 'truong cap 3 tran nhan tong', 'pt tran nhan tong', 'truong thpt tran nhan tong', 'cap 3 tran nhan tong']",11
THPT Đông Kinh,"['THPT Đông Kinh', 'thpt dong kinh', 'ptth dong kinh', 'truong trung hoc pho thong dong kinh', 'pt dong kinh', 'truong cap 3 dong kinh', 'pho thong dong kinh', 'truong thpt dong kinh', 'pho thong trung hoc dong kinh', 'cap 3 dong kinh', 'trung hoc pho thong dong kinh']",11
THPT Hoàng Diệu,"['THPT Hoàng Diệu', 'thpt hoang dieu', 'pho thong hoang dieu', 'pho thong trung hoc hoang dieu', 'cap 3 hoang dieu', 'pt hoang dieu', 'truong thpt hoang dieu', 'trung hoc pho thong hoang dieu', 'ptth hoang dieu', 'truong trung hoc pho thong hoang dieu', 'truong cap 3 hoang dieu']",11
THPT Hồng Hà,"['THPT Hồng Hà', 'thpt hong ha', 'trung hoc pho thong hong ha', 'pho thong trung hoc hong ha', 'truong cap 3 hong ha', 'pho thong hong ha', 'truong trung hoc pho thong hong ha', 'pt hong ha', 'ptth hong ha', 'truong thpt hong ha', 'cap 3 hong ha']",11
THPT Mai Hắc Đế,"['THPT Mai Hắc Đế', 'thpt mai hac de', 'pho thong mai hac de', 'truong thpt mai hac de', 'cap 3 mai hac de', 'pho thong trung hoc mai hac de', 'pt mai hac de', 'ptth mai hac de', 'truong cap 3 mai hac de', 'truong trung hoc pho thong mai hac de', 'trung hoc pho thong mai hac de']",11
THCS&THPT Tạ Quang Bửu,"['THCS&THPT Tạ Quang Bửu', 'thcs thpt ta quang buu', 'thcs truong trung hoc pho thong ta quang buu', 'truong thcs thpt ta quang buu', 'thcs & thpt ta quang buu', 'thcs cap 3 ta quang buu', 'truong cap 2 thpt ta quang buu', 'thcs trung hoc pho thong ta quang buu', 'thcs ptth ta quang buu', 'cap 2 thpt ta quang buu', 'thcs pho thong ta quang buu', 'thcs pho thong trung hoc ta quang buu', 'cs thpt ta quang buu', 'thcs truong cap 3 ta quang buu', 'tthcs thpt ta quang buu', 'truong trung hoc co so thpt ta quang buu', 'trung hoc co so thpt ta quang buu', 'thcs pt ta quang buu', 'thcs truong thpt ta quang buu', 'co so thpt ta quang buu']",20
