original,augmented_name,count
Đại Học Quốc gia,"['Đại Học Quốc gia', 'dai hoc quoc gia', 'truong dai hoc quoc gia', 'daj hoc quoc gia', 'truong dh quoc gia', 'dh quoc gia']",6
Đại Học Kinh tế quốc dân,"['Đại Học Kinh tế quốc dân', 'dai hoc kinh te quoc dan', 'dh kinh te quoc dan', 'truong dh kinh te quoc dan', 'truong dai hoc kinh te quoc dan', 'daj hoc kinh te quoc dan']",6
Đại Học Ngoại thương,"['Đại Học Ngoại thương', 'dai hoc ngoai thuong', 'truong dh ngoai thuong', 'truong dai hoc ngoai thuong', 'dh ngoai thuong', 'daj hoc ngoai thuong']",6
Đại Học Thương mại,"['Đại Học Thương mại', 'dai hoc thuong mai', 'daj hoc thuong mai', 'truong dai hoc thuong mai', 'dh thuong mai', 'truong dh thuong mai']",6
Đại Học Khoa học Tự nhiên,"['Đại Học Khoa học Tự nhiên', 'dai hoc khoa hoc tu nhien', 'truong dh khoa hoc tu nhien', 'daj hoc khoa hoc tu nhien', 'truong dai hoc khoa hoc tu nhien', 'dh khoa hoc tu nhien']",6
Đại Học Khoa học Xã hội & Nhân văn,"['Đại Học Khoa học Xã hội & Nhân văn', 'dai hoc khoa hoc xa hoi nhan van', 'truong dh khoa hoc xa hoi nhan van', 'daj hoc khoa hoc xa hoi nhan van', 'dh khoa hoc xa hoi nhan van', 'truong dai hoc khoa hoc xa hoi nhan van']",6
Đại Học Điện lực,"['Đại Học Điện lực', 'dai hoc dien luc', 'truong dai hoc dien luc', 'dh dien luc', 'daj hoc dien luc', 'truong dh dien luc']",6
Đại Học Sư phạm,"['Đại Học Sư phạm', 'dai hoc su pham', 'dh su pham', 'daj hoc su pham', 'truong dai hoc su pham', 'truong dh su pham', 'dhsp']",7
Đại Học Hà Nội,"['Đại Học Hà Nội', 'dai hoc ha noi', 'daj hoc ha noi', 'truong dai hoc ha noi', 'truong dh ha noi', 'dh ha noi']",6
Đại Học Ngoại ngữ,"['Đại Học Ngoại ngữ', 'dai hoc ngoai ngu', 'daj hoc ngoai ngu', 'truong dai hoc ngoai ngu', 'dh ngoai ngu', 'truong dh ngoai ngu']",6
Đại Học Y Hà Nội,"['Đại Học Y Hà Nội', 'dai hoc y ha noi', 'truong dai hoc y ha noi', 'daj hoc y ha noi', 'truong dh y ha noi', 'dh y ha noi']",6
Đại Học Y tế Công cộng Hà Nội,"['Đại Học Y tế Công cộng Hà Nội', 'dai hoc y te cong cong ha noi', 'truong dai hoc y te cong cong ha noi', 'dh y te cong cong ha noi', 'truong dh y te cong cong ha noi', 'daj hoc y te cong cong ha noi']",6
Đại Học Bách khoa Hà Nội,"['Đại Học Bách khoa Hà Nội', 'dai hoc bach khoa ha noi', 'daj hoc bach khoa ha noi', 'dhbkhn', 'truong dh bach khoa ha noi', 'dai hoc bk ha noi', 'truong dai hoc bach khoa ha noi', 'dh bach khoa ha noi']",8
Đại Học Xây Dựng Hà Nội,"['Đại Học Xây Dựng Hà Nội', 'dai hoc xay dung ha noi', 'daj hoc xay dung ha noi', 'truong dai hoc xay dung ha noi', 'dh xay dung ha noi', 'truong dh xay dung ha noi']",6
Đại Học Xây Dựng Hà Nội ,"['Đại Học Xây Dựng Hà Nội ', 'dai hoc xay dung ha noi', 'truong dai hoc xay dung ha noi', 'daj hoc xay dung ha noi', 'truong dh xay dung ha noi', 'dh xay dung ha noi']",6
Đại Học Công nghệ,"['Đại Học Công nghệ', 'dai hoc cong nghe', 'dh cong nghe', 'truong dai hoc cong nghe', 'truong dh cong nghe', 'daj hoc cong nghe']",6
Đại Học Kiến trúc Hà Nội,"['Đại Học Kiến trúc Hà Nội', 'dai hoc kien truc ha noi', 'dh kien truc ha noi', 'daj hoc kien truc ha noi', 'truong dh kien truc ha noi', 'truong dai hoc kien truc ha noi']",6
Đại Học Hàng hải,"['Đại Học Hàng hải', 'dai hoc hang hai', 'dh hang hai', 'truong dh hang hai', 'truong dai hoc hang hai', 'daj hoc hang hai']",6
Đại Học Mở Hà Nội,"['Đại Học Mở Hà Nội', 'dai hoc mo ha noi', 'dh mo ha noi', 'truong dai hoc mo ha noi', 'truong dh mo ha noi', 'daj hoc mo ha noi']",6
Đại Học Mỏ Địa Chất,"['Đại Học Mỏ Địa Chất', 'dai hoc mo dia chat', 'truong dh mo dia chat', 'dh mo dia chat', 'daj hoc mo dia chat', 'truong dai hoc mo dia chat']",6
Học Viện Âm nhạc Quốc gia Việt Nam,"['Học Viện Âm nhạc Quốc gia Việt Nam', 'hoc vien am nhac quoc gia viet nam']",2
Đại Học Nông Lâm,"['Đại Học Nông Lâm', 'dai hoc nong lam', 'dh nong lam', 'daj hoc nong lam', 'truong dh nong lam', 'truong dai hoc nong lam']",6
Học Viện Nông Nghiệp Việt Nam,"['Học Viện Nông Nghiệp Việt Nam', 'hoc vien nong nghiep viet nam']",2
Đại Học Tài nguyên và Môi trường ,"['Đại Học Tài nguyên và Môi trường ', 'dai hoc tai nguyen va moi truong', 'truong dai hoc tai nguyen va moi truong', 'daj hoc tai nguyen va moi truong', 'truong dh tai nguyen va moi truong', 'dh tai nguyen va moi truong']",6
Đại Học Lâm nghiệp,"['Đại Học Lâm nghiệp', 'dai hoc lam nghiep', 'truong dh lam nghiep', 'dh lam nghiep', 'truong dai hoc lam nghiep', 'daj hoc lam nghiep']",6
