Column1,text,normed_text,clean_text
25384,tr cd nghe ninh thuan,Tr. CĐ nghề Ninh Thuận,CĐ nghề Ninh Thuận
28645,Trường dạy nghề số 10 BQP,101 Tô Vĩnh Diện - Thi Bằng Lái Xe - Trường Trung Cấp Nghề Số 10,TC Nghề Số 10
19512,Trường Trung Học Phổ Thông Vân Tảo,2 Trường THPT Vân Tảo,THPT Vân Tảo
27596,Trại Giam Huyện Thống Nhất,Trại Giam Huyện Thống Nhất,Trại Giam Huyện Thống Nhất
25771,nang khieu tdtt,Năng khiếu TDTT,Năng khiếu TDTT
26233,nang khieu tdtt ben tre,Năng khiếu TDTT Bến Tre,Năng khiếu TDTT Bến Tre
26069,nang khieu tdtt kien giang,Năng khiếu TDTT Kiên Giang,Năng khiếu TDTT Kiên Giang
25991,nang khieu the duc the thao,Năng Khiếu Thể dục Thể Thao,Năng Khiếu Thể dục Thể Thao
26296,nang khieu the duc the thao,Năng khiếu Thể dục thể thao,Năng khiếu Thể dục thể thao
25842,nang khieu the thao,Năng khiếu thể thao,Năng khiếu thể thao
17219,Vus - Anh Văn Hội Việt Mỹ,Anh Văn Hội Việt Mỹ VUS,Anh Văn Hội Việt Mỹ VUS
21095,Bachkhoa-aptech,Bách Khoa Aptech,Bách Khoa Aptech
27921,HCMC POLYTECHNOLOGY UNIVERSITY,Bách Khoa Aptech,Bách Khoa Aptech
22942,ban cong phan boi chau,Bán công Phan Bội Châu,Bán công Phan Bội Châu
25205,ban tru lacTrường THPT lang biang duong,Bán trú  LạcTrường THPT  Lang Biang -  Dương,THPT  Lang Biang
24258,trung tam bdnvsp va gdtx tinh ha tinh,TT BDNVSP và GDTX tỉnh Hà Tĩnh,BDNVSP và GDTX tỉnh Hà Tĩnh
24881,truong bo tuc van hoa gia lai kon tum,Trường Bổ túc văn hóa Gia Lai Kon Tum,Bổ túc văn hóa Gia Lai Kon Tum
25941,btvh cap 2 3 nguyen thai hoc,"BTVH Cấp 2,3 Nguyễn Thái Học",THCS-THPT Nguyễn Thái Học
22067,btvh cdkt cao thang,BTVH CĐKT Cao Thắng,BTVH CĐKT Cao Thắng
23784,truong btvh det nam dinh,Trường BTVH Dệt Nam Định,BTVH Dệt Nam Định
22282,btvh dh ngoai thuong,BTVH ĐH Ngoại Thương,BTVH ĐH Ngoại Thương
26409,btvh pali trung cap nam bo,BTVH Pali Trung cấp Nam Bộ,BTVH Pali TC Nam Bộ
22271,btvh thanh da,BTVH Thanh Đa,BTVH Thanh Đa
26728,Trường phục hồi nhân phẩm bình triệu,TT cai nghiện ma túy Bình Triệu,cai nghiện ma túy Bình Triệu
17915,Cao Đẳng An Ninh Nhân Dân 1,Trường Cao Đẳng An Ninh Nhân Dân 1,CĐ An Ninh Nhân Dân 1
23640,cao dang asean,Cao Đẳng ASEAN,CĐ ASEAN
19261,Trường trung cấp Âu Lạc Huế,Trường Cao đẳng Âu Lạc - Huế,CĐ Âu Lạc - Huế
21300,truong trung cap au lac hue,Cao Đẳng Âu Lạc – Huế,CĐ Âu Lạc – Huế
21622,cao dang ba ria vung tau,Cao Đẳng Bà Rịa-Vũng Tàu,CĐ Bà Rịa-Vũng Tàu
22806,cao dang bac kan,Cao Đẳng Bắc Kạn,CĐ Bắc Kạn
16116,Truong Cao Dang Bach Khoa da Nang,Trường Cao Đẳng Bách Khoa Đà Nẵng,CĐ Bách Khoa Đà Nẵng
18146,Cao đẳng Bách Khoa Đà Nẵng,Trường Cao Đẳng Bách Khoa Đà Nẵng,CĐ Bách Khoa Đà Nẵng
19287,Cao Dang Bach Khoa DN,Trường Cao Đẳng Bách Khoa Đà Nẵng,CĐ Bách Khoa Đà Nẵng
21358,cdbk da nang,Cao Đẳng Bách Khoa Đà Nẵng,CĐ Bách Khoa Đà Nẵng
21368,cao dang bach khoa dn,Cao Đẳng Bách Khoa Đà Nẵng,CĐ Bách Khoa Đà Nẵng
21369,cao dang bach khoa dai hoc da nang,Cao Đẳng Bách Khoa Đà Nẵng,CĐ Bách Khoa Đà Nẵng
21405,cao dang bach khoa dn,Cao Đẳng Bách Khoa Đà Nẵng,CĐ Bách Khoa Đà Nẵng
29518,truong cao dang bach khoa da nang,Trường Cao Đẳng Bách Khoa Đà Nẵng,CĐ Bách Khoa Đà Nẵng
21370,cao dang bach khoa ha noi,Cao Đẳng Bách Khoa Hà Nội,CĐ Bách Khoa Hà Nội
18953,Cao đẳng Bách khoa Hưng Yên,Trường Cao đẳng Bách khoa Hưng Yên,CĐ Bách khoa Hưng Yên
26990,Bachkhoahungyen,Cao Đẳng Bách khoa Hưng Yên,CĐ Bách khoa Hưng Yên
27589,Trường Cao Đẳng Bách Khoa Hưng Yên,Cao Đẳng Bách Khoa Hưng Yên,CĐ Bách Khoa Hưng Yên
16599,trung cap ki thuat va nghiep vu nam sai gon,Trường Cao đẳng Bách khoa Nam Sài Gòn,CĐ Bách khoa Nam Sài Gòn
17779,Trường Trung cấp Nam Sài Gòn,Trường Cao đẳng Bách khoa Nam Sài Gòn,CĐ Bách khoa Nam Sài Gòn
28080,Trường trung cấp KT và NV Nam Sài Gòn,Trường Cao Đẳng Bách khoa Nam Sài Gòn,CĐ Bách khoa Nam Sài Gòn
28859,Trung cap Ki thuat va Nghiep vu Nam Sài Gòn,Trường Cao Đẳng Bách khoa Nam Sài Gòn,CĐ Bách khoa Nam Sài Gòn
21591,cao dang bach khoa tp hcm,Cao Đẳng Bách Khoa TP.HCM,CĐ Bách Khoa TP.HCM
27129,Trường cđ Bach Nghệ,Trường Cao Đẳng Bách Nghệ Hà Nội,CĐ Bách Nghệ Hà Nội
21465,truong cao dang bach nghe hai phong hpc,Cao Đẳng Bách nghệ Hải Phòng,CĐ Bách nghệ Hải Phòng
15845,CD Bach Viet,Trường Cao Đẳng Bách Việt,CĐ Bách Việt
19714,CD Bách Việt,Trường Cao Đẳng Bách Việt,CĐ Bách Việt
21549,cao dang bc cong nghe qtdn,Cao Đẳng Bán Công Công nghệ và Quản trị Doanh nghiệp,CĐ Bán Công Công nghệ và Quản trị Doanh nghiệp
21615,cao dang ban cong cong nghe quan tri doanh nghiep,Cao Đẳng Bán công Công nghệ và Quản trị doanh nghiệp,CĐ Bán công Công nghệ và Quản trị doanh nghiệp
18642,Trường Cao Đẳng Bến Tre,Trường Cao đẳng Bến Tre,CĐ Bến Tre
21004,cd ben tre,Cao Đẳng Bến Tre,CĐ Bến Tre
28910,JCao Đẳng Bến Tre,Trường Cao Đẳng Bến Tre,CĐ Bến Tre
29680,trung cap yte ben tre,Trường Cao Đẳng Bến Tre,CĐ Bến Tre
29797,Trường trung cấp y tế bến tre,Trường Cao Đẳng Bến Tre,CĐ Bến Tre
15193,CDSP Qui Nhơn,Trường Cao đẳng Bình Định,CĐ Bình Định
16283,Cao đẳng Bình Định,Trường Cao đẳng Bình Định,CĐ Bình Định
19155,Truong cao dang Binh Dinh,Trường Cao đẳng Bình Định,CĐ Bình Định
21330,cdbd,Cao Đẳng Bình Định,CĐ Bình Định
26167,cao dang can tho,Cao Đẳng Cần Thơ,CĐ Cần Thơ
16393,tccs vu trang,Trường Cao Đẳng Cảnh Sát Nhân Dân 1,CĐ Cảnh Sát Nhân Dân 1
19581,truong trung cap canh sat nhan dan 2,Trường Cao đẳng Cảnh Sát Nhân Dân 1,CĐ Cảnh Sát Nhân Dân 1
