text,normed_text,normed_text_2
Trường tiểu học Trần Quang Vinh,Trường Tiểu học Trần Quang Vinh,Tiểu học Trần Quang Vinh
"Đại Học Văn Hóa Hà Nội,418 Đê La Thành",Trường Đại học Văn hóa Hà Nội,Đại học Văn hóa Hà Nội
Foreign Trade University HCMC,Trường Đại học Ngoại thương Cơ sở II - TP. HCM,Đại học Ngoại thương Cơ sở II - TP. HCM
Truong THCS phan dinh phung,Trường THCS Phan Đình Phùng,THCS Phan Đình Phùng
THPT Nghĩa Hưng C-Nam Định,Trường THPT C Nghĩa Hưng,THPT C Nghĩa Hưng
"Trường THCS Nhơn Bình,Quy Nhơn,Bình Định",Trường THCS Nhơn Bình,THCS Nhơn Bình
THCS Đức Trí Q1,Trường Trung Học Cơ Sở Đức Trí,Trung Học Cơ Sở Đức Trí
Truong TTGDTX Quan 12,Trung Tâm Giáo Dục Thường Xuyên Quận 12,Giáo Dục Thường Xuyên Quận 12
Trường THCS Mỹ Xuyên,Trường THCS Mỹ Xuyên,THCS Mỹ Xuyên
"Phan Chau Trinh high school, Danang, Vietnam",Trường THPT Phan Châu Trinh,THPT Phan Châu Trinh
Trường Đại học Văn khoa Sài Gòn,Trường Đại học Văn khoa Sài Gòn,Đại học Văn khoa Sài Gòn
Truong Cao Dang Dien Luc TP.HCM,Trường Cao đẳng Điện lực Thành phố Hồ Chí Minh,Cao đẳng Điện lực Thành phố Hồ Chí Minh
truong dh phu xuan,Trường Đại học Phú Xuân - city campus,Đại học Phú Xuân - city campus
THPT Hồng Ngự 2,Trường THPT Hồng Ngự 2,THPT Hồng Ngự 2
Truong Trung Hoc Co So Vinh Kim,Trường THCS Vĩnh Kim,THCS Vĩnh Kim
trung hoc pho thong chau van liem,Trường Trung học Phổ thông Châu Văn Liêm,Trung học Phổ thông Châu Văn Liêm
Trường Cao Đẳng Nghề Lý Tự Trọng,Trường Cao đẳng Lý Tự Trọng TP. Hồ Chí Minh,Cao đẳng Lý Tự Trọng TP. Hồ Chí Minh
Saigon South International School,Trường Quốc tế Nam Sài Gòn,Quốc tế Nam Sài Gòn
Đại Học Sài Gòn - Khoa SPMN,Trường Đại Học Sài Gòn - Khoa Sư Phạm Mầm Non,Đại Học Sài Gòn - Khoa Sư Phạm Mầm Non
Trường THPT Trần Hữu Trang,Trường THPT Trần Hữu Trang,THPT Trần Hữu Trang
THCS Hoang Van Thu,Trường THCS Hoàng Văn Thụ,THCS Hoàng Văn Thụ
Trường THCS và THPT Khánh Hoà,Trường Thcs - Thpt Khánh Hòa,Thcs - Thpt Khánh Hòa
trường dạy nghề ẩm thực nestpace đà nẵng,"Dạy nghề Ẩm thực Netspace Đà Nẵng - Dạy học nấu ăn, Dạy học Pha chế, Dạy học làm bánh","Dạy nghề Ẩm thực Netspace Đà Nẵng - Dạy học nấu ăn, Dạy học Pha chế, Dạy học làm bánh"
THCS Đồng Thái,Trường THCS Đông Thái,THCS Đông Thái
Trường THPT Minh Đài,Trường THPT Minh Đài,THPT Minh Đài
"THPT Châu Thành 2 ,Cái Tàu Hạ,Châu Thành,Đồng Tháp",Trường THPT Châu Thành 2,THPT Châu Thành 2
Trung cấp Y Dược Lê Hữu Trác,Trường Trung cấp Y Dược Lê Hữu Trác,Trung cấp Y Dược Lê Hữu Trác
THPT Hoang Dieu,Trường THPT Hoàng Diệu,THPT Hoàng Diệu
Trường Cao đẳng Kinh tế kỹ thuật Miền nam - TP HCM,Trường Cao Đẳng Miền Nam,Cao Đẳng Miền Nam
THPT Gia Phù,Trường THPT Gia Phù,THPT Gia Phù
thptdl van hien,TRƯỜNG THPT VĂN HIẾN,THPT VĂN HIẾN
Houston Community College,Trường Cao đẳng Cộng đồng Houston (Houston Community ...,Cao đẳng Cộng đồng Houston
Trường THCS Dũng Sĩ Điện Ngọc,Trường THCS Dũng Sĩ Điện Ngọc,THCS Dũng Sĩ Điện Ngọc
Phu Nhuan Highschool,Trường THPT Phú Nhuận,THPT Phú Nhuận
