,index,text,normed_text
0,13342,Trường THPTTH Phú Bình,Trường THPT Phú Bình
1,1143,da hoc truong trung cap quan ly nha hang khach san o tp hcm,trung cấp Quản trị Nhà hàng Khách sạn
2,12978,Trường THPT Nguyễn Du - Đồng Xoài - BP,Trường THPT Nguyễn Du
3,4098,ttgdnn gdtx nam dan,TT GDNN-GDTX Nam Đàn
4,9602,Hoc Vien An ning,Học Viện An ninh Nhân Dân
5,451,NUCE,Đại Học Xây Dựng Hà Nội
6,13652,Mẫu Giáo Bông Trang,Trường Mẫu Giáo Bông Trang
7,4842,cao dang nghe phu yen,Cao Đẳng nghề Phú Yên
8,11284,Trường ĐH Quy Nhơn,Trường Đại Học Quy Nhơn
9,13105,TT GDTX Phan Đăng Lưu Phú Nhuận,TT GDNN-GDTX Quận Phú Nhuận
10,6372,Trường THPT mai thanh the,Trường THPT Mai Thanh Thế
11,4448,Trường THPT chuyen le thanh tong,Trường THPT chuyên Lê Thánh Tông
12,5355,TT GDTX go dau,TT GDTX Gò Dầu
13,3415,phong gddt tp hung yen,Phòng GDĐT TP Hưng Yên
14,9443,Trường THPT nguyễn cảnh chân,Trường THPTth Nguyễn Cảnh Chân
15,11080,truong dai hoc ky thuat y te hai duong,Đại học Kỹ thuật Y tế Hải Dương
16,7538,hoc vien ngoai giao ha noi,Học viện Ngoại giao
17,10277,Trường THPT Công lập Hoàng lệ kha hà trung,Trường THPT Hoàng Lệ Kha
18,10141,Dh gjao thong van taj,Trường Đại học Giao thông Vận tải
19,9633,Trung hoc Dong Da,Trường THPT Đống Đa
20,2720,Trường THPT binh yen,Trường THPT Bình Yên
21,10429,Trường Sĩ quan Pháo binh - Binh chủng Pháo binh,Trường Sĩ Quan Pháo Binh
22,8035,Trường THPT vvk,Trường THPT Võ Văn Kiệt
23,2853,truong ptdtnt Trường THCS-THPT huyen thuan chau,Trường THPTDTNT Trường THCS-THPT huyện Thuận Châu
24,7361,Truong Cao Dang Su Pham TW HN,Trường Cao Đẳng Sư phạm Trung ương
