Unnamed: 0,index,text,normed_text,lower_text,lower_normed_text
0,13342,Trường THPTTH Phú Bình,Trường THPT Phú Bình,trường thptth phú bình,trường thpt phú bình
1,1143,da hoc truong trung cap quan ly nha hang khach san o tp hcm,trung cấp Quản trị Nhà hàng Khách sạn,da hoc truong trung cap quan ly nha hang khach san o tp hcm,trung cấp quản trị nhà hàng khách sạn
2,12978,Trường THPT Nguyễn Du - Đồng Xoài - BP,Trường THPT Nguyễn Du,trường thpt nguyễn du - đồng xoài - bp,trường thpt nguyễn du
3,4098,ttgdnn gdtx nam dan,TT GDNN-GDTX Nam Đàn,ttgdnn gdtx nam dan,tt gdnn-gdtx nam đàn
4,9602,Hoc Vien An ning,Học Viện An ninh Nhân Dân,hoc vien an ning,học viện an ninh nhân dân
5,451,NUCE,Đại Học Xây Dựng Hà Nội,nuce,đại học xây dựng hà nội
6,13652,Mẫu Giáo Bông Trang,Trường Mẫu Giáo Bông Trang,mẫu giáo bông trang,trường mẫu giáo bông trang
7,4842,cao dang nghe phu yen,Cao Đẳng nghề Phú Yên,cao dang nghe phu yen,cao đẳng nghề phú yên
8,11284,Trường ĐH Quy Nhơn,Trường Đại Học Quy Nhơn,trường đh quy nhơn,trường đại học quy nhơn
9,13105,TT GDTX Phan Đăng Lưu Phú Nhuận,TT GDNN-GDTX Quận Phú Nhuận,tt gdtx phan đăng lưu phú nhuận,tt gdnn-gdtx quận phú nhuận
10,6372,Trường THPT mai thanh the,Trường THPT Mai Thanh Thế,trường thpt mai thanh the,trường thpt mai thanh thế
11,4448,Trường THPT chuyen le thanh tong,Trường THPT chuyên Lê Thánh Tông,trường thpt chuyen le thanh tong,trường thpt chuyên lê thánh tông
12,5355,TT GDTX go dau,TT GDTX Gò Dầu,tt gdtx go dau,tt gdtx gò dầu
13,3415,phong gddt tp hung yen,Phòng GDĐT TP Hưng Yên,phong gddt tp hung yen,phòng gdđt tp hưng yên
14,9443,Trường THPT nguyễn cảnh chân,Trường THPTth Nguyễn Cảnh Chân,trường thpt nguyễn cảnh chân,trường thptth nguyễn cảnh chân
15,11080,truong dai hoc ky thuat y te hai duong,Đại học Kỹ thuật Y tế Hải Dương,truong dai hoc ky thuat y te hai duong,đại học kỹ thuật y tế hải dương
16,7538,hoc vien ngoai giao ha noi,Học viện Ngoại giao,hoc vien ngoai giao ha noi,học viện ngoại giao
17,10277,Trường THPT Công lập Hoàng lệ kha hà trung,Trường THPT Hoàng Lệ Kha,trường thpt công lập hoàng lệ kha hà trung,trường thpt hoàng lệ kha
18,10141,Dh gjao thong van taj,Trường Đại học Giao thông Vận tải,dh gjao thong van taj,trường đại học giao thông vận tải
19,9633,Trung hoc Dong Da,Trường THPT Đống Đa,trung hoc dong da,trường thpt đống đa
20,2720,Trường THPT binh yen,Trường THPT Bình Yên,trường thpt binh yen,trường thpt bình yên
21,10429,Trường Sĩ quan Pháo binh - Binh chủng Pháo binh,Trường Sĩ Quan Pháo Binh,trường sĩ quan pháo binh - binh chủng pháo binh,trường sĩ quan pháo binh
22,8035,Trường THPT vvk,Trường THPT Võ Văn Kiệt,trường thpt vvk,trường thpt võ văn kiệt
23,2853,truong ptdtnt Trường THCS-THPT huyen thuan chau,Trường THPTDTNT Trường THCS-THPT huyện Thuận Châu,truong ptdtnt trường thcs-thpt huyen thuan chau,trường thptdtnt trường thcs-thpt huyện thuận châu
24,7361,Truong Cao Dang Su Pham TW HN,Trường Cao Đẳng Sư phạm Trung ương,truong cao dang su pham tw hn,trường cao đẳng sư phạm trung ương
25,2206,truong pt noi tru do son,Trường THPT Nội Trú Đồ Sơn,truong pt noi tru do son,trường thpt nội trú đồ sơn
26,3676,Trường THPT quang trung,Trường THPT Quang Trung,trường thpt quang trung,trường thpt quang trung
27,8560,Thtp phan viet thong,Trường THPT Phan Việt Thống,thtp phan viet thong,trường thpt phan việt thống
28,12883,Trung tam GDTX Quang Dien,TT GDNN-GDTX QUẢNG ĐIỀN,trung tam gdtx quang dien,tt gdnn-gdtx quảng điền
29,12982,ĐHNLTN,Trường Đại học Nông Lâm,đhnltn,trường đại học nông lâm
30,1580,cd nghe co dien ha noi,CĐ nghề cơ điện Hà Nội,cd nghe co dien ha noi,cđ nghề cơ điện hà nội
31,10703,trung hoc pt huong khe,Trường THPT HƯƠNG KHÊ,trung hoc pt huong khe,trường thpt hương khê
32,4808,truong Trường THPT dinh tien hoang,Trường THPT Đinh Tiên Hoàng,truong trường thpt dinh tien hoang,trường thpt đinh tiên hoàng
33,3094,trung tam gdnn gdtx cam pha p cam son tp cam pha,"TT GDNN-GDTX Cẩm Phả P. Cẩm Sơn, TP Cẩm Phả",trung tam gdnn gdtx cam pha p cam son tp cam pha,"tt gdnn-gdtx cẩm phả p. cẩm sơn, tp cẩm phả"
34,4039,ttgdnn gdtx tan ky,TT GDNN-GDTX Tân Kỳ,ttgdnn gdtx tan ky,tt gdnn-gdtx tân kỳ
35,12988,Đại học công nghệ thông tin thành phố HCM,Trường Đại học Công nghệ Thông tin ĐHQG TP.HCM,đại học công nghệ thông tin thành phố hcm,trường đại học công nghệ thông tin đhqg tp.hcm
36,2210,Trường THPT tran hung dao,Trường THPT Trần Hưng Đạo,trường thpt tran hung dao,trường thpt trần hưng đạo
37,2703,truong trung hoc giao thong van tai khu vuc 1,Trường CĐ Giao thông Vận tải khu vực 1,truong trung hoc giao thong van tai khu vuc 1,trường cđ giao thông vận tải khu vực 1
38,13204,PTTH Tiên Hưng,Trường THPT Tiên Hưng,ptth tiên hưng,trường thpt tiên hưng
39,7367,truc ninh B,Trường THPT Trực Ninh B,truc ninh b,trường thpt trực ninh b
40,8216,trung hoc an giang,Trường Trung cấp Kinh tế - Kỹ thuật An Giang,trung hoc an giang,trường trung cấp kinh tế - kỹ thuật an giang
41,12285,Trường THPT THACH THANH 3,Trường THPT THẠCH THÀNH 3,trường thpt thach thanh 3,trường thpt thạch thành 3
42,9246,Trường THPT.yen khanh nb,Trường THPT Yên Khánh B,trường thpt.yen khanh nb,trường thpt yên khánh b
43,3926,Trường THPT dong son 1,Trường THPT Đông Sơn 1,trường thpt dong son 1,trường thpt đông sơn 1
44,7317,cao đẳng nghề việt đức - lạng sơn,Cao Đẳng nghề Lạng Sơn,cao đẳng nghề việt đức - lạng sơn,cao đẳng nghề lạng sơn
45,7924,CĐ Kinh tế - Kỹ thuật Công nghiệp I,Trường Đại học Kinh tế Kỹ thuật Công nghiệp ,cđ kinh tế - kỹ thuật công nghiệp i,trường đại học kinh tế kỹ thuật công nghiệp 
46,933,dai hoc dan lap hai phong -  haiphong private university,Đại học Dân lập Hải Phòng,dai hoc dan lap hai phong -  haiphong private university,đại học dân lập hải phòng
47,1211,cao dang su pham daklak,Cao Đẳng Sư Phạm Đắk Lắk,cao dang su pham daklak,cao đẳng sư phạm đắk lắk
48,4667,Trường THPT hung vuong,Trường THPT Hùng Vương,trường thpt hung vuong,trường thpt hùng vương
49,10442,Trường Kỹ Thuật Hải Quân,Trường Cao Đẳng Kỹ thuật Hải quân,trường kỹ thuật hải quân,trường cao đẳng kỹ thuật hải quân
50,13187,Đai hoc nong lam thanh pho,Trường Đại học Nông Lâm TP.HCM,đai hoc nong lam thanh pho,trường đại học nông lâm tp.hcm
51,8175,Lao Đông Xã Hội,Trường Đại học Lao động - Xã hội,lao đông xã hội,trường đại học lao động - xã hội
52,14264,Trường THPTTH Ngô Quyền - Nam Định,Trường THPT Ngô Quyền,trường thptth ngô quyền - nam định,trường thpt ngô quyền
53,8114,Truong dai hoc y khoa Hue,Trường Đại học Y Dược Huế,truong dai hoc y khoa hue,trường đại học y dược huế
54,3823,gdnn gdtx yen khanh,TT GDNN-GDTX Yên Khánh,gdnn gdtx yen khanh,tt gdnn-gdtx yên khánh
55,11902,công nghiệp tp.hồ chí minh,Trường Đại học Công nghiệp TP.HCM,công nghiệp tp.hồ chí minh,trường đại học công nghiệp tp.hcm
56,3448,cao dang kinh te ky thuat to hieu hung yen,Cao Đẳng Kinh tế Kỹ thuật Tô Hiệu Hưng Yên,cao dang kinh te ky thuat to hieu hung yen,cao đẳng kinh tế kỹ thuật tô hiệu hưng yên
57,10523,Trường THPT Nguyễn Trãi Phú yên,Trường THPT Nguyễn Trãi,trường thpt nguyễn trãi phú yên,trường thpt nguyễn trãi
58,14543,cap ba tran yen yen bai nay la trung hoc le quy don tran yen yen bai,Trường THPT Lê Qúy Đôn,cap ba tran yen yen bai nay la trung hoc le quy don tran yen yen bai,trường thpt lê qúy đôn
59,12533,Trường THPT Chu Văn An,Trường THPT Chu Văn An ,trường thpt chu văn an,trường thpt chu văn an 
60,10898,trung học phổ thông cẩm xuyên hà tĩnh,Trường THPT Cẩm Xuyên,trung học phổ thông cẩm xuyên hà tĩnh,trường thpt cẩm xuyên
61,4750,truong Trường THPT chuyen hung vuong,Trường THPT Chuyên Hùng Vương,truong trường thpt chuyen hung vuong,trường thpt chuyên hùng vương
62,8104,Trường THPT nam kì khở nghĩa,Trường THPT Nam Kỳ Khởi Nghĩa,trường thpt nam kì khở nghĩa,trường thpt nam kỳ khởi nghĩa
63,6045,Trường THPT lai son,Trường THPT Lại Sơn,trường thpt lai son,trường thpt lại sơn
64,4885,trung tam gd nghe nghiep gdtx h tay hoa,TT GDNN-GDTX H. Tây Hòa,trung tam gd nghe nghiep gdtx h tay hoa,tt gdnn-gdtx h. tây hòa
65,4145,Trường THPT le hong phong,Trường THPT Lê Hồng Phong,trường thpt le hong phong,trường thpt lê hồng phong
66,679,Đại Học Công Đoàn,Đại Học Công Đoàn,đại học công đoàn,đại học công đoàn
67,4327,Trường THPT chu van an,Trường THPT Chu Văn An,trường thpt chu van an,trường thpt chu văn an
68,6688,truong trung hoc vinh hung,Trường THPT Vĩnh Hưng,truong trung hoc vinh hung,trường thpt vĩnh hưng
69,13761,Trường THPT catngan,Trường THPT Cát Ngạn,trường thpt catngan,trường thpt cát ngạn
70,12235,Trường THPT Long Kiến,Trường THPT Ung Văn Khiêm,trường thpt long kiến,trường thpt ung văn khiêm
71,9612,CĐ Nghe Long An,Trường Cao Đẳng Long An,cđ nghe long an,trường cao đẳng long an
72,11273,ĐẠI HỌC HÀ NỘI,Trường Đại học Hà Nội,đại học hà nội,trường đại học hà nội
73,14470,truong trung cap nghe kinh te ky thuat mien tay,Trường Trung Cấp Nghề Kinh Tế - Kỹ Thuật Miền Tây,truong trung cap nghe kinh te ky thuat mien tay,trường trung cấp nghề kinh tế - kỹ thuật miền tây
74,1939,cd ky thuat phu lam,CĐ Kỹ thuật Phú Lâm,cd ky thuat phu lam,cđ kỹ thuật phú lâm
75,14400,Trường Cao Đẳng Nghề Cơ Điện Hà Nội,Trường Cao Đẳng Cơ Điện Hà Nội,trường cao đẳng nghề cơ điện hà nội,trường cao đẳng cơ điện hà nội
76,8024,Trường cấp 3 Hà Huy tập tp.Vinh Nghệ An,Trường THPT Hà Huy Tập,trường cấp 3 hà huy tập tp.vinh nghệ an,trường thpt hà huy tập
77,8356,Truong pho thong dan toc noi tru tinh hoa binh,Trường THPT Dân Tộc Nội Trú Hòa Bình,truong pho thong dan toc noi tru tinh hoa binh,trường thpt dân tộc nội trú hòa bình
78,12359,Trường THPT nang khieu Dai hoc Tan Tao,Trường THPT Năng Khiếu Đại Học Tân Tạo,trường thpt nang khieu dai hoc tan tao,trường thpt năng khiếu đại học tân tạo
79,11710,Hội Đồng Hương Trường THPT Hoàng Hoa Thám - Lệ Thủy - Quảng Bình,Trường THPT Hoàng Hoa Thám,hội đồng hương trường thpt hoàng hoa thám - lệ thủy - quảng bình,trường thpt hoàng hoa thám
80,3973,Trường THPT tran an chiem,Trường THPT Trần Ân Chiêm,trường thpt tran an chiem,trường thpt trần ân chiêm
81,13974,DHYK VINH,Trường Đại học Y khoa Vinh,dhyk vinh,trường đại học y khoa vinh
82,3857,ttgdnn gdtx quan son,TT GDNN-GDTX Quan Sơn,ttgdnn gdtx quan son,tt gdnn-gdtx quan sơn
83,11429,"Trường THPT nguyễn tri phương, bảo lộc, lâm đồng",Trường THPT Nguyễn Tri Phương,"trường thpt nguyễn tri phương, bảo lộc, lâm đồng",trường thpt nguyễn tri phương
84,3168,tt gdtx tinh bac giang,TT GDTX tỉnh Bắc Giang,tt gdtx tinh bac giang,tt gdtx tỉnh bắc giang
85,7779,Cao dang kinh te vjnh long,Phân hiệu Trường Đại học Kinh tế TP.HCM tại tỉnh Vĩnh Long,cao dang kinh te vjnh long,phân hiệu trường đại học kinh tế tp.hcm tại tỉnh vĩnh long
86,6205,Trường THPT chuyen nguyen binh khiem,Trường THPT chuyên Nguyễn Bỉnh Khiêm,trường thpt chuyen nguyen binh khiem,trường thpt chuyên nguyễn bỉnh khiêm
87,13323,Trường THPT Phan Thành Tài,Trường THPT Phan Thành Tài,trường thpt phan thành tài,trường thpt phan thành tài
88,5938,Trường THPT long binh,Trường THPT Long Bình,trường thpt long binh,trường thpt long bình
89,12961,Trung Học Phổ Thông Cảm Nhân,Trường THPT Cảm Nhân,trung học phổ thông cảm nhân,trường thpt cảm nhân
90,3218,tt gdnn gdtx h tan yen,TT GDNN-GDTX H.Tân Yên,tt gdnn gdtx h tan yen,tt gdnn-gdtx h.tân yên
91,8403,Trường CĐSP Kiên Giang - Rạch Giá - Kiên Giang,Trường Cao Đẳng Sư Phạm Kiên Giang,trường cđsp kiên giang - rạch giá - kiên giang,trường cao đẳng sư phạm kiên giang
92,1497,cao dang ki that cao thang,Cao Đẳng Kỹ thuật Cao Thắng,cao dang ki that cao thang,cao đẳng kỹ thuật cao thắng
93,11824,Trươg Trường THPT tân thanh,Trường THPT Tân Thành,trươg trường thpt tân thanh,trường thpt tân thành
94,10670,Hong Bang International University,Đại Học Quốc Tế Hồng Bàng,hong bang international university,đại học quốc tế hồng bàng
95,1174,cdbk da nang,Cao Đẳng Bách Khoa Đà Nẵng,cdbk da nang,cao đẳng bách khoa đà nẵng
96,5841,Trường THPT vung tau,Trường THPT Vũng Tàu,trường thpt vung tau,trường thpt vũng tàu
97,11363,PTTH Đông Triều,Trường THPT Đông Triều,ptth đông triều,trường thpt đông triều
98,8729,Trường TPPT VĨNH KIM,Trường THPT Vĩnh Kim,trường tppt vĩnh kim,trường thpt vĩnh kim
99,14561,Trường su pham Thái Bình,Trường Cao Đẳng Sư phạm Thái Bình,trường su pham thái bình,trường cao đẳng sư phạm thái bình
100,13984,Trường THPT DonDuong,Trường THPT Đơn Dương,trường thpt donduong,trường thpt đơn dương
101,12453,Truờng CĐ Kinh Tế Kỹ Thuật Thái Nguyên,"Trường Cao Đẳng Kinh Tế - Kỹ Thuật, Đại học Thái Nguyên",truờng cđ kinh tế kỹ thuật thái nguyên,"trường cao đẳng kinh tế - kỹ thuật, đại học thái nguyên"
102,6168,Trường THPT nguyen trai,Trường THPT Nguyễn Trãi,trường thpt nguyen trai,trường thpt nguyễn trãi
103,782,Đại học Thành Đô,Đại học Thành Đô,đại học thành đô,đại học thành đô
104,8565,truong trung hoc pho thong tran quang dieu,Trường THPT Trần Quang Diệu,truong trung hoc pho thong tran quang dieu,trường thpt trần quang diệu
105,309,STU,Đại Học Công Nghệ Sài Gòn,stu,đại học công nghệ sài gòn
106,5067,Trường THPT chuyen bao loc,Trường THPT Chuyên Bảo Lộc,trường thpt chuyen bao loc,trường thpt chuyên bảo lộc
107,9048,cao dang luong thuc thuc pham _dn,Trường Cao Đẳng Lương thực - Thực phẩm,cao dang luong thuc thuc pham _dn,trường cao đẳng lương thực - thực phẩm
108,13559,Trung học phổ thông trần cao van,Trường THPT Trần Thánh Tông,trung học phổ thông trần cao van,trường thpt trần thánh tông
109,8070,UEF - Đại học Kinh tế Tài chính TP.HCM,Trường Đại học Kinh tế Tài chính TP.HCM,uef - đại học kinh tế tài chính tp.hcm,trường đại học kinh tế tài chính tp.hcm
110,3768,Trường THPT chuyen luong van tuy,Trường THPT Chuyên Lương Văn Tụy,trường thpt chuyen luong van tuy,trường thpt chuyên lương văn tụy
111,8427,Truong Trường THPT Chu Van An,Trường THPT Chu Văn An ,truong trường thpt chu van an,trường thpt chu văn an 
112,13525,"Trường THPT Chu van an,krongpa,gialai",Trường THPT Chu Văn An,"trường thpt chu van an,krongpa,gialai",trường thpt chu văn an
113,6524,truong pt dtnt Trường THPT huyen dien bien dong,Trường THPT DTNT Trường THPT huyện Điện Biên Đông,truong pt dtnt trường thpt huyen dien bien dong,trường thpt dtnt trường thpt huyện điện biên đông
114,11200,Trường Trường THPT nam tjền hảj,Trường THPT Nam Tiền Hải,trường trường thpt nam tjền hảj,trường thpt nam tiền hải
115,13581,DHSP TPHCM,Trường Đại học Sư phạm TP.HCM,dhsp tphcm,trường đại học sư phạm tp.hcm
116,6791,dai hoc GTVT,Đại học Giao thông Vận tải,dai hoc gtvt,đại học giao thông vận tải
117,7605,trung cấp miền tây,Trường Trung cấp Miền Tây,trung cấp miền tây,trường trung cấp miền tây
118,7732,Trường THPT Doan Thi Diem thanh phu ben tre,Trường THPT Đoàn Thị Điểm,trường thpt doan thi diem thanh phu ben tre,trường thpt đoàn thị điểm
119,5633,Trường THPT tan hung,Trường THPT Tân Hưng,trường thpt tan hung,trường thpt tân hưng
120,1396,dhyk pham ngoc thach,Đại Học Y Khoa Phạm Ngọc Thạch,dhyk pham ngoc thach,đại học y khoa phạm ngọc thạch
121,2759,Trường THPT le hong phong,Trường THPT Lê Hồng Phong,trường thpt le hong phong,trường thpt lê hồng phong
122,9734,Cao đẳng Nông Nghjệp Nam Bộ,Trường Cao Đẳng nông nghiệp Nam Bộ,cao đẳng nông nghjệp nam bộ,trường cao đẳng nông nghiệp nam bộ
123,7188,xuândiệuschool,Trường THPT Xuân Diệu,xuândiệuschool,trường thpt xuân diệu
124,13769,Trường Cao đẳng Kinh tế Kỹ thuật Trung ương,Cao Đẳng Kinh tế Kỹ thuật Trung Ương,trường cao đẳng kinh tế kỹ thuật trung ương,cao đẳng kinh tế kỹ thuật trung ương
125,439,TMU,Đại Học Thương Mại,tmu,đại học thương mại
126,14435,Trường Đại học Công đoàn,Trường Đại Học Công Đoàn,trường đại học công đoàn,trường đại học công đoàn
127,2783,tt gdtx hndn tx nghia lo,TT GDTX-HNDN Tx Nghĩa Lộ,tt gdtx hndn tx nghia lo,tt gdtx-hndn tx nghĩa lộ
128,868,"truong dai hoc ngoai ngu, dai hoc quoc gia ha noi",Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,"truong dai hoc ngoai ngu, dai hoc quoc gia ha noi",đại học ngoại ngữ – đại học quốc gia hà nội
