index,text,cleaned_text
0,cao dang cong nghiep Viet Duc,CĐ Công nghiệp Việt Đức
1,Trườg CDCN viet duc,CĐ Công nghiệp Việt Đức
2,Trung cap nghe giao thong co dien quang ninh.,CĐ Giao Thông Quảng Ninh
3,Cao Đẳng bách khoa hưng yên,CĐ Bách khoa Hưng Yên
4,Cao dang BKHY,CĐ Bách khoa Hưng Yên
5,BKIH Univercity,CĐ Bách khoa Hưng Yên
6,Trung học y tế Bến TRe,CĐ Bến Tre
7,Cao Dang Binh Dinh,CĐ Bình Định
8,Cao đang binh dinh,CĐ Bình Định
9,Trung cap csnd1,CĐ Cảnh Sát Nhân Dân 1
10,T39 Trường Cao Đẳng Cảnh Sát Nhân Dân 2,CĐ Cảnh Sát Nhân Dân 2
11,Trường Cao Đẳng Nghề Cơ Điện Hà Nội,CĐ Cơ Điện Hà Nội
12,cao dang nghe co dien & thuy loi,CĐ Cơ Điện Hà Nội
13,CĐCĐNB & NN Can Tho,CĐ Cơ Điện Và Nông Nghiệp Nam Bộ
14,CDN Cơ điện và Thủy Lợi,CĐ Cơ điện và Thủy lợi
15,Cao Dang Nghe co dien va thuy loi hung yen,CĐ Cơ điện và Thủy lợi
16,Cao Đẳng nghề cơ điện và thủy lợi,CĐ Cơ điện và Thủy lợi
17,Cao Đẳng ngê cö dien bác ninh,CĐ Cơ điện và Xây Dựng Bắc Ninh
18,cao dang nge co gioi nb,CĐ Cơ Giới Ninh Bình
19,cao dang nge co gioi nb,CĐ Cơ Giới Ninh Bình
20,cdncknn,CĐ cơ khí nông nghiệp
21,Trường Cao Đẳng nghề cơ khí nông ngiệp,CĐ cơ khí nông nghiệp
22,cd cong dong phan thiet,CĐ Cộng Đồng Bình Thuận
23,đang học cao đăng cộng đồng cà mau,CĐ Cộng đồng Cà Mau
24,Trường Cao Đẳng Cộng Đồng Đồng Tháp - Dong Thap Community...,CĐ Cộng đồng Đồng Tháp
25,Hanoi community college '10,CĐ Cộng đồng Hà Nội
26,CĐCĐ Hà Tây - Ha Tay Community College,CĐ Cộng đồng Hà Tây
27,Hatay Community College,CĐ Cộng đồng Hà Tây
28,Tacoma Community College,CĐ Cộng đồng Tacoma
29,Trường Cao Đẳng Công nghệ Bách khoa Hà Nội,CĐ Công Nghệ Bách Khoa Hà Nội
30,Truong Cao Dang Nghe Cong Nghe Cao Dong An,CĐ Công nghệ cao Đồng An
31,Cao dang nghe cong nghe ha tinh,CĐ Công Nghệ Hà Tĩnh
32,Truong trung cap thuy loi II hoi an,CĐ Công nghệ Kinh tế và Thủy lợi miền Trung
33,Lilama 2,CĐ Công Nghệ Quốc Tế Lilama 2
