text,normed_text,lower_text,lower_normed_text
Trường THPT kim boi,THPT Kim Bôi,trường thpt kim boi,thpt kim bôi
Trường THPT Đoàn Thượng - Gia Lộc - Hải Dương,THPT Đoàn Thượng,trường thpt đoàn thượng - gia lộc - hải dương,thpt đoàn thượng
"THPT  Lý Tự Trọng, Tân Bình, TP. Hồ Chí Minh",CĐ Lý Tự Trọng TP.HCM,"thpt  lý tự trọng, tân bình, tp. hồ chí minh",cđ lý tự trọng tp.hcm
Trường THPT Kháng Nhật,THPT Kháng Nhật,trường thpt kháng nhật,thpt kháng nhật
THPT dinh thanh dong hai bac lieu,THPT ĐỊNH THÀNH,thpt dinh thanh dong hai bac lieu,thpt định thành
Trường THPT thanh lam,THPT Thanh Lâm,trường thpt thanh lam,thpt thanh lâm
THPT Tứ Kỳ,THPT Tứ Kỳ,thpt tứ kỳ,thpt tứ kỳ
THPT NGUYEN XUAN ON,THPT Nguyễn Xuân Ôn,thpt nguyen xuan on,thpt nguyễn xuân ôn
Viện ĐH Mở HN,ĐH Mở Hà Nội,viện đh mở hn,đh mở hà nội
Dai hoc TDTT Ha Tay,ĐH Sư phạm Thể dục Thể thao Hà Nội,dai hoc tdtt ha tay,đh sư phạm thể dục thể thao hà nội
"Trường THPT Nguyen Hien,Da Nang,Viet Nam",THPT Nguyễn Hiền,"trường thpt nguyen hien,da nang,viet nam",thpt nguyễn hiền
Trường THPT Cây Dương,THPT Cây Dương,trường thpt cây dương,thpt cây dương
Cao Dang Ky Thuat Khach San Va du Lịch,CĐ Kỹ Thuật Khách Sạn Và Du Lịch,cao dang ky thuat khach san va du lịch,cđ kỹ thuật khách sạn và du lịch
THPT Tran Nguyen Han-Hai Phong,THPT Trần Nguyên Hãn,thpt tran nguyen han-hai phong,thpt trần nguyên hãn
thpt nguyễn trãi tiên yên,THPT nguyễn Trãi,thpt nguyễn trãi tiên yên,thpt nguyễn trãi
Trường THPT Ngô Thì Nhậm - Tam Điệp Ninh Bình,THPT Ngô Thì Nhậm,trường thpt ngô thì nhậm - tam điệp ninh bình,thpt ngô thì nhậm
THTP Hưng Hóa,THPT Hưng Hoá,thtp hưng hóa,thpt hưng hoá
THPTThọ xuân 4,THPT Thọ Xuân,thptthọ xuân 4,thpt thọ xuân
THPT Nhi Chieu,THPT Nhị Chiểu,thpt nhi chieu,thpt nhị chiểu
gdnn gdtx quang binh,GDNN-GDTX Quang Bình,gdnn gdtx quang binh,gdnn-gdtx quang bình
Trường THPT giong thi dam,THPT Giồng Thị Đam,trường thpt giong thi dam,thpt giồng thị đam
Trường THPT Quế Sơn,THPT Quế Sơn,trường thpt quế sơn,thpt quế sơn
Đại học Nguyễn Huệ - Trường Sĩ quan lục quân 2,ĐH Nguyễn Huệ,đại học nguyễn huệ - trường sĩ quan lục quân 2,đh nguyễn huệ
THPT HÀ HUY TẬP-NHA TRANG-KHÁNH HOÀ,THPT Hà Huy Tập,thpt hà huy tập-nha trang-khánh hoà,thpt hà huy tập
trung học phổ thông ql2,THPT Quỳnh Lưu,trung học phổ thông ql2,thpt quỳnh lưu
truong trung hoc pho thong minh chau,THPT Minh Châu,truong trung hoc pho thong minh chau,thpt minh châu
Trường THPT vinh dinh,THPT Vĩnh Định,trường thpt vinh dinh,thpt vĩnh định
Thpt Nam Sai Gon,TH-THCS-THPT Nam Sài Gòn,thpt nam sai gon,th-thcs-thpt nam sài gòn
THPT-Nguyễn Diêu,THPT Nguyễn Diêu,thpt-nguyễn diêu,thpt nguyễn diêu
Trường THPT Hà Huy Tập-Thành Phố Vinh-Tỉnh Nghệ An,THPT Hà Huy Tập,trường thpt hà huy tập-thành phố vinh-tỉnh nghệ an,thpt hà huy tập
DNC university,ĐH Nam Cần Thơ,dnc university,đh nam cần thơ
Thpt hai ba trung-buôn hồ,THPT Hai Bà Trưng,thpt hai ba trung-buôn hồ,thpt hai bà trưng
Cao dang xd so 1,CĐ Xây dựng,cao dang xd so 1,cđ xây dựng
Tran Dai Nghia high school can tho,THPT Trần Đại Nghĩa,tran dai nghia high school can tho,thpt trần đại nghĩa
"THPT Nguyễn Chí Thanh, Thị trấn Sịa, Quảng Điền, TT.Huế",THPT Nguyễn Chí Thanh,"thpt nguyễn chí thanh, thị trấn sịa, quảng điền, tt.huế",thpt nguyễn chí thanh
ĐH Hoà Bình,ĐH Hòa Bình,đh hoà bình,đh hòa bình
cao dang tai chinh ke toan 4,CĐ Tài Chính Kế Toán,cao dang tai chinh ke toan 4,cđ tài chính kế toán
dai hoc cntt va truyen thong,ĐH Công nghệ Thông tin Truyền thông Thái Nguyên,dai hoc cntt va truyen thong,đh công nghệ thông tin truyền thông thái nguyên
Trường THPT nguyen van tang,THPT Nguyễn Văn Tăng,trường thpt nguyen van tang,thpt nguyễn văn tăng
Truong THPT Dinh Tien Hoang,THPT Đinh Tiên Hoàng,truong thpt dinh tien hoang,thpt đinh tiên hoàng
Phổ thông Vân Nội,THPT Vân Nội,phổ thông vân nội,thpt vân nội
"Trường PTTH Nguyễn Du, Châu Đức, Bà Rịa - Vũng Tàu",THPT Nguyễn Du,"trường ptth nguyễn du, châu đức, bà rịa - vũng tàu",thpt nguyễn du
khoa vat li dai hoc su pham ha noi,ĐH Sư phạm Hà Nội,khoa vat li dai hoc su pham ha noi,đh sư phạm hà nội
Trường THPT Hà Nội_Amstecdam,THPT chuyên Hà Nội Amsterdam,trường thpt hà nội_amstecdam,thpt chuyên hà nội amsterdam
truong Trường THPT Le Thanh Phuong,THPT Lê Thành Phương,truong trường thpt le thanh phuong,thpt lê thành phương
ĐH Đông Ri,ĐH Đông Đô,đh đông ri,đh đông đô
THPT QUOC THAI,THPT Quốc Thái,thpt quoc thai,thpt quốc thái
Trường phổ thông trung học Trương Định Gò Công,THPT Trương Định,trường phổ thông trung học trương định gò công,thpt trương định
Truong thpt le loi quang tri,THPT Lê Lợi,truong thpt le loi quang tri,thpt lê lợi
HNUE High School for Gifted Students,THPT Chuyên ĐH Sư phạm Hà Nội,hnue high school for gifted students,thpt chuyên đh sư phạm hà nội
Trường THPT chau van liem,THPT Châu Văn Liêm,trường thpt chau van liem,thpt châu văn liêm
khoi chuyen dhkh hue,ĐHKH Huế,khoi chuyen dhkh hue,đhkh huế
ttgdnn gdtx tho xuan,GDNN-GDTX Thọ Xuân,ttgdnn gdtx tho xuan,gdnn-gdtx thọ xuân
THPT Nguyễn Công Trứ - Quảng Ngãi City,THPT Nguyễn Công Trứ,thpt nguyễn công trứ - quảng ngãi city,thpt nguyễn công trứ
trung tam gdnn gdtx huyen ham yen,GDNN-GDTX Hàm Yên,trung tam gdnn gdtx huyen ham yen,gdnn-gdtx hàm yên
THPT- Lê Thành Phương,THPT Lê Thành Phương,thpt- lê thành phương,thpt lê thành phương
TH PT Thanh An,THPT Thạnh An,th pt thanh an,thpt thạnh an
TT GDTX Bắc Giang,GDNN-GDTX tỉnh Bắc Giang,tt gdtx bắc giang,gdnn-gdtx tỉnh bắc giang
ĐẠI HỌC NGÂN HÀNG,HV Ngân hàng,đại học ngân hàng,hv ngân hàng
DH Cong Nghe DN,ĐH Công Nghệ Đồng Nai,dh cong nghe dn,đh công nghệ đồng nai
Trường THPT dan toc noi tru ka lang,THPT DTNT Ka Lăng,trường thpt dan toc noi tru ka lang,thpt dtnt ka lăng
Trường THPT Quảng Trọng Hoàng,THPT Quản Trọng Hoàng,trường thpt quảng trọng hoàng,thpt quản trọng hoàng
THPT NVC,THPT Nguyễn Văn Cừ,thpt nvc,thpt nguyễn văn cừ
Trương THPT Sô 1 Tư Nghia,THPT Tư Nghĩa,trương thpt sô 1 tư nghia,thpt tư nghĩa
Chu Van An Hanoi National High School,THPT Chu Văn An,chu van an hanoi national high school,thpt chu văn an
Trung cấp văn hóa nghệ thuật Trà Vinh,TC Văn hóa Nghệ thuật,trung cấp văn hóa nghệ thuật trà vinh,tc văn hóa nghệ thuật
Trường THPT hoa an,THPT Hoà An,trường thpt hoa an,thpt hoà an
"kinh tế Hà Nội (Vietnam National University, Hanoi)",ĐH Kinh tế - ĐH Quốc gia Hà Nội,"kinh tế hà nội (vietnam national university, hanoi)",đh kinh tế - đh quốc gia hà nội
PTTH PHAN ĐĂNG LƯU,THPT Phan Đăng Lưu,ptth phan đăng lưu,thpt phan đăng lưu
truong nguyen thai binh quan tan binh thanh pho ho chi minh,THPT Nguyễn Thái Bình,truong nguyen thai binh quan tan binh thanh pho ho chi minh,thpt nguyễn thái bình
tt gdtx h giao thuy,GDNN-GDTX Giao Thuỷ,tt gdtx h giao thuy,gdnn-gdtx giao thuỷ
Trường THPT Phạm Phú Thứ,THPT Phạm Phú Thứ,trường thpt phạm phú thứ,thpt phạm phú thứ
Đại Học Thành Đô - Hà Nội,ĐH Thành Đô,đại học thành đô - hà nội,đh thành đô
THPT Phan Bội Châu Pleiku - Gia Lai,THPT Phan Bội Châu,thpt phan bội châu pleiku - gia lai,thpt phan bội châu
Trường Trung Học Phổ Thông Bình Yên,THPT Bình Yên,trường trung học phổ thông bình yên,thpt bình yên
"Nguyễn Văn Trỗi High School , Nha Trang city",THPT Nguyễn Văn Trỗi,"nguyễn văn trỗi high school , nha trang city",thpt nguyễn văn trỗi
THPT Liên Chiểu,THPT Liên Chiểu,thpt liên chiểu,thpt liên chiểu
tt gdtx hn dn dai loc,GDNN-GDTX Đại Lộc,tt gdtx hn dn dai loc,gdnn-gdtx đại lộc
Phổ Thông Trần Quý Cáp,THPT Trần Quý Cáp,phổ thông trần quý cáp,thpt trần quý cáp
"Hội CHS trường THPT Mạc Đĩnh Chi - Nam Sách, Hải Dương. Khu vực phía Nam.",THPT Mạc Đĩnh Chi,"hội chs trường thpt mạc đĩnh chi - nam sách, hải dương. khu vực phía nam.",thpt mạc đĩnh chi
Đại học harvad,ĐH Harvard,đại học harvad,đh harvard
pt nch nguyen tat thanh,THPT NCH Nguyễn Tất Thành,pt nch nguyen tat thanh,thpt nch nguyễn tất thành
