text,normed_text
Hanoi pedagogical university No.2,ĐH Sư phạm Hà Nội
Trường THPT Lạc Thủy B,THPT Lạc Thủy
Trường THPT Bắc Đông Quan- Đông Hưng- Thái Bình,THPT Bắc Đông Quan
cd du lich sg,CĐ Nghề Du Lịch Thương mại Nghệ An
cao đẳng nghề việt úc vavc,CĐ nghề Việt Úc
Trường THPTTH DL Hùng Vương,THPT Hùng Vương
Truong Dai Hoc Duy Tan Da Nang,ĐH Duy Tân
trung hoc hung vuong phu tho,THPT Hùng Vương
Trường THPT đồng hòa,THPT Đồng Hòa
ĐHĐT Đồng Tháp,ĐH Đồng Tháp
cao dang cong nghe thong tin tp.hcm,CĐ Công nghệ Thông tin TP.HCM
Đại học Đông Á - Đà Nẵng,ĐH Đông Á
đại học kỹ thuật công nghiệp (thái nguyên),ĐH Kỹ Thuật Công Nghiệp - ĐH Thái Nguyên
đh sp ngoại ngữ/đhqghn,ĐH Ngoại ngữ - ĐH Quốc gia Hà Nội
tt gdnn gdtx go dau,GDNN-GDTX Gò Dầu
PTDT Nội Trú Bắc Cạn,THPT DTNT Bắc Kạn
cao dang du ljh ha n0j,CĐ Du Lịch Hà Nội
cdang phuong dong _ da nang,CĐ Phương Đông Đà Nẵng
Khoa Y Dược - ĐHĐN,ĐH Y Dược Cần Thơ
cao dang mua vjet na,HV Múa Việt Nam
THPT Chương MỸ A,THPT Chương Mỹ
THPT Nguyễn Tất Thành - Đắk Nông,THPT Nguyễn Tất Thành
Cao Đẳng Giao Thông Vận Tải 3,CĐ Giao thông Vận tải Trung ương
đại học nông ngh,HV Nông nghiệp Việt Nam
cao dang nghe tam ky,CĐ Công Nghệ Quảng Nam
THPT Cấp 3 Đông Hà,THPT Đông Hà
"Trường THPT NguyenKhuyen, tp NamDinh",THPT Nguyễn Khuyến
đhnn-đhqg khoa pháp,ĐH Ngoại ngữ - ĐH Đà Nẵng
THPT Lưu Hữu Phước,THPT Lưu Hữu Phước
THPT leloi,THPT Lê Lợi
