text,normed_text,normed_text_2
CD Cong nghe va Kinh te Cong nghiep,Trường Cao đẳng Công nghệ và Kinh tế Công nghiệp,Cao đẳng Công nghệ và Kinh tế Công nghiệp
THPT Le Quy Don Hai Phong,Trường THPT Lê Quý Đôn,THPT Lê Quý Đôn
THCS Phú Thạnh,Trường THCS Phú Thạnh,THCS Phú Thạnh
Trường THCS Phan Bội Châu - Hải Phòng,Trường THCS Phan Bội Châu,THCS Phan Bội Châu
"THCS Phan Bội Châu, Quận Hồng Bàng, Hải Phòng",Trường THCS Phan Bội Châu,THCS Phan Bội Châu
Truong THPT nguyen khuyen - vinh bao - hai phong,Trường THPT Nguyễn Khuyến,THPT Nguyễn Khuyến
THPT Hàng Hải Hải Phòng,Trường THPT Hàng Hải,THPT Hàng Hải
Cao Đẳng Cộng đồng Đồng tháp,Trường Cao đẳng Cộng đồng Đồng Tháp,Cao đẳng Cộng đồng Đồng Tháp
Trường Đại Học Siêu phậm  Vĩnh long,Trường ĐH Sư phạm Kỹ thuật Vĩnh Long,ĐH Sư phạm Kỹ thuật Vĩnh Long
Trường Đại Học sư phạm Vĩnh Long,Trường ĐH Sư phạm Kỹ thuật Vĩnh Long,ĐH Sư phạm Kỹ thuật Vĩnh Long
THPT Thanh Mien3,Trường Thpt Thanh Miện 3,Thpt Thanh Miện 3
THCS Dong Hai,Trường THCS Đông Hải,THCS Đông Hải
THPT Thai Phien Hai Phong,Trường THPT Thái Phiên,THPT Thái Phiên
Khoa Nhân học - Trường Đại học Khoa học Xã hội và Nhân văn Hà Nội,Trường Đại học Khoa học Xã hội và Nhân văn - Đại học Quốc gia Hà Nội,Đại học Khoa học Xã hội và Nhân văn - Đại học Quốc gia Hà Nội
THPT Thuan Thanh 2,Trường THPT Thuận Thành 2,THPT Thuận Thành 2
Truong THPT Luong Tai I,Trường THPT Lương Tài,THPT Lương Tài
Ttgdtx Nam Sach,Trung tâm Giáo dục Thường xuyên Nam Sách,Giáo dục Thường xuyên Nam Sách
THPT Lạng Giang số 3,Trường THPT Lạng Giang số 3,THPT Lạng Giang số 3
Trung học phổ thông Nam Tiền Hải,Trường THPT Nam Tiền Hải,THPT Nam Tiền Hải
thcs da nang,Trường THCS Đà Nẵng,THCS Đà Nẵng
Truog THPT Thua Luu,Trường THPT Thừa Lưu,THPT Thừa Lưu
Truờng cấp 3 Nam Đông Quan,Trường THPT Nam Đông Quan,THPT Nam Đông Quan
HOC VIEN BIEN PHONG,Học viện Biên Phòng,Học viện Biên Phòng
"Xuân Thới Thượng, Hồ Chí Minh, Vietnam",Xuân Thới Thượng,Xuân Thới Thượng
Shanghai International Studies University,Đại học Ngoại ngữ Thượng Hải,Đại học Ngoại ngữ Thượng Hải
Bến Tre,thành phố Bến Tre,hành phố Bến Tre
Trường Đại Học Thành Đông,Trường Đại học Thành Đông,Đại học Thành Đông
Trường Đại Học Sư Phạm Hà Nội 2,Trường Đại học Sư phạm Hà Nội 2,Đại học Sư phạm Hà Nội 2
THPT Bình Giang - Hải Dương,Trường THPT Bình Giang,THPT Bình Giang
TRƯỜNG THCS TAM CƯỜNG,Trường THCS Tam Cường,THCS Tam Cường
THPT QUẢNG XƯƠNG 2,Trường THPT Quảng Xương 2,THPT Quảng Xương 2
THPT ĐÔNG TIỀN HẢI,Trường THPT Đông Tiền Hải,THPT Đông Tiền Hải
THPT nam tiền hải,Trường THPT Nam Tiền Hải,THPT Nam Tiền Hải
THPT Thuận Thành 1,Trường Trung học phổ thông Thuận Thành số 1,Trung học phổ thông Thuận Thành số 1
DHSP Ha Noi 2,Trường Đại học Sư phạm Hà Nội 2,Đại học Sư phạm Hà Nội 2
Cao dang xay dung so 1 - CTC1,Trường Cao Đẳng Xây dựng Số 1,Cao Đẳng Xây dựng Số 1
Trường Đại học Ngoại ngữ - Đại học Quốc gia Hà Nội,"Trường Đại học Ngoại ngữ, Đại học Quốc gia Hà Nội","Đại học Ngoại ngữ, Đại học Quốc gia Hà Nội"
Trung tâm giáo dục thường xuyên II Thái Thụy,Trung tâm giáo dục thường xuyên II - Thái Thuỵ,giáo dục thường xuyên II - Thái Thuỵ
Trường THPT Tây Tiền Hải,Trường THPT Tây Tiền Hải,THPT Tây Tiền Hải
HUTECH - Đại học Công nghệ Tp.HCM,Trường Đại Học Công Nghệ TP.HCM - HUTECH,Đại Học Công Nghệ TP.HCM - HUTECH
Trường THCS Mạo Khê II -  Đông Triều  - Quảng Ninh,Trường THCS Mạo khê 2,THCS Mạo khê 2
Trường Trung học phổ thông Nông Cống 3,TRƯỜNG THPT NÔNG CỐNG 3,THPT NÔNG CỐNG 3
trường THPT An Dương,Trường THPT An Dương,THPT An Dương
THPT giao thuy C,Trường THPT Giao Thủy C,THPT Giao Thủy C
THPT Nguyễn Đức Cảnh,Trường Trung học phổ thông Nguyễn Đức Cảnh,Trung học phổ thông Nguyễn Đức Cảnh
Đại học hàng Hải hải phòng,Trường Đại học Hàng hải Việt Nam,Đại học Hàng hải Việt Nam
THPT LÝ BÔN,Trường THPT Lý Bôn,THPT Lý Bôn
Trường TC Phạm Ngọc Thạch Cần Thơ,Trường Cao Đẳng Phạm Ngọc Thạch Cần Thơ,Cao Đẳng Phạm Ngọc Thạch Cần Thơ
Đại Học Kinh tế kĩ thuật công nghiệp,Trường Đại học Kinh tế Kỹ thuật Công nghiệp (UNETI),Đại học Kinh tế Kỹ thuật Công nghiệp
"THPT PHú lộc, T-T- Huế",Trường THPT Phú Lộc,THPT Phú Lộc
Trường Cao đẳng Ngoại ngữ - Công nghệ Việt Nhật,Trường Cao Đẳng Ngoại Ngữ & Công Nghệ Việt Nhật,Cao Đẳng Ngoại Ngữ & Công Nghệ Việt Nhật
Trường THPT Đầm Hà,Trường THPT Đầm Hà,THPT Đầm Hà
Hanoi University (HANU),Trường Đại học Hà Nội,Đại học Hà Nội
THPT Xuân Lộc,Trường THPT Xuân Lộc,THPT Xuân Lộc
THPT Gia Thụy,Trường THCS Gia Thụy,THCS Gia Thụy
DH MDC,Trường Đại học Mỏ - Địa chất.,Đại học Mỏ - Địa chất.
cao đẳng kĩ thuật công nghiệp,Trường Cao đẳng Kỹ thuật Công nghiệp,Cao đẳng Kỹ thuật Công nghiệp
Đại Học Trà Vinh,Trường Đại Học Trà Vinh,Đại Học Trà Vinh
