,text,normed_text,clean_text
15000,Trường Tiểu học Bế Văn Đàn,Trường Tiểu học Bế Văn Đàn,Tiểu học Bế Văn Đàn
15001,Dai Hoc Khoa Hoc Sai Gon,Đại học Sài Gòn - Khoa Giáo Dục,Đại học Sài Gòn - Khoa Giáo Dục
15002,Trung học cơ sở Thanh Bình,Trường THCS Thanh Bình,THCS Thanh Bình
15003,Trường Tiểu Học Bình Trị 1,Trường Tiểu học Bình Trị 1,Tiểu học Bình Trị 1
15004,Trường PTTH Diên Hồng,Trường THCS - THPT Diên Hồng,THCS - THPT Diên Hồng
15005,Trường THCS Tôn Thất Bách,Trường THCS Tôn Thất Bách,THCS Tôn Thất Bách
15006,Trường Trung Học Phổ Thông Lý Tự Trọng,Trường THPT Lý Tự Trọng,THPT Lý Tự Trọng
15007,Trường THCS Mê Linh,Trường THCS Mê Linh,THCS Mê Linh
15008,Trường THPT An Lạc,Trường THPT An Lạc,THPT An Lạc
15009,THPT Lương Tâm,Trường THPT Lương Tâm,THPT Lương Tâm
15010,truong dai hoc lao dong xa hoi co so 2,Trường Đại học Lao động - Xã hội,Đại học Lao động - Xã hội
15011,Đại Học Công Nghệ Đồng Nai,Trường Đại Học Công Nghệ Đồng Nai,Đại Học Công Nghệ Đồng Nai
15012,trường tiểu học HANH THÔNG,Trường tiểu học Hanh Thông,tiểu học Hanh Thông
15013,Trường Đại học Trần Đại Nghĩa,Trường Đại học Trần Đại Nghĩa,Đại học Trần Đại Nghĩa
15014,Trường THPT DL Lê Doãn Nhã,Trường THPT Lê Doãn Nhã,THPT Lê Doãn Nhã
15015,"Trường tiểu học Định Công, Hoàng Mai, Hà Nội",Trường Tiểu học Định Công,Tiểu học Định Công
15016,TRƯỜNG TRUNG HỌC PHỔ THÔNG PHƯỚC VĨNH,Trường THPT Phước Vĩnh,THPT Phước Vĩnh
15017,Trường THCS Nguyễn Văn Linh - Huế,Trường THCS Nguyễn Văn Linh,THCS Nguyễn Văn Linh
15018,THPT Thăng Long,Trường THPT Thăng Long,THPT Thăng Long
15019,THPT Thủ Đức,Trường THPT Thủ Đức,THPT Thủ Đức
15020,Trường Trung Học Cơ Sở Trung Nhứt,Trường Trung Học Cơ Sở Trung Nhứt,Trung Học Cơ Sở Trung Nhứt
15021,Trường THPT Võ Nhai,Trường THPT Võ Nhai,THPT Võ Nhai
15022,Trường THCS Võ Bẩm,Trường THCS Võ Bẩm,THCS Võ Bẩm
15023,Nhật ngữ HINODE,Trung Tâm Nhật Ngữ Hinode - 日乃出日本語センター,Nhật Ngữ Hinode - 日乃出日本語センター
15024,Trường THPT Thanh Sơn,Trường THPT Thanh Sơn,THPT Thanh Sơn
15025,Trường THPT Triệu Phong,Trường THPT Triệu Phong,THPT Triệu Phong
15026,Trường Tiểu Học Phạm Văn Hai - Quận Tân Bình,Trường tiểu học Phạm Văn Hai,tiểu học Phạm Văn Hai
15027,truong trung hoc co so thạnhloc,Trường Tiểu học Thạnh Lộc 1,Tiểu học Thạnh Lộc 1
15028,THCS Bình Hưng Hòa,Trường THCS Bình Hưng Hòa,THCS Bình Hưng Hòa
15029,Truong THPT Tan Tru,Trường THPT Tân Trụ,THPT Tân Trụ
15030,THPT THU KHOA THUA,Trường THPT Thủ Khoa Thừa,THPT Thủ Khoa Thừa
15031,Trường THCS Đông La,Trường THCS Đông La,THCS Đông La
15032,TTGDTX Tinh Binh Duong,Trung tâm giáo dục thường xuyên tỉnh Bình Dương,giáo dục thường xuyên tỉnh Bình Dương
15033,Trường THPT Lê Duẩn,Trường THPT Lê Duẩn,THPT Lê Duẩn
15034,THPT Đạ Huoai,Trường THPT Đạ Huoai,THPT Đạ Huoai
15035,Trường thcs Trưng Vương,Trường THCS Trưng Vương,THCS Trưng Vương
15036,Trường THCS Vĩnh Mỹ,Trường THCS Vĩnh Mỹ,THCS Vĩnh Mỹ
15037,Tài chính kế toán,Kế toán tài chính,Kế toán tài chính
15038,Trường PTTH Trưng Vương - TPHCM,Trường THPT Trưng Vương,THPT Trưng Vương
15039,THPT DL Văn Lang,Trường THPT Văn Lang,THPT Văn Lang
15040,CDCN Thu Duc,Trường Cao Đẳng Công nghệ Thủ Đức,Cao Đẳng Công nghệ Thủ Đức
15041,THPT Bùi Thị Xuân,Trường THPT Bùi Thị Xuân,THPT Bùi Thị Xuân
15042,Trung học KTN Lý Tự Trọng,Khu tưởng niệm anh hùng Lý Tự Trọng,Khu tưởng niệm anh hùng Lý Tự Trọng
15043,trung cap y te dang van ngu,Trường Cao đẳng Y Tế Đặng Văn Ngữ,Cao đẳng Y Tế Đặng Văn Ngữ
15044,THCS Thị Trấn Văn Điển,Trường THCS thị trấn Văn Điển CŨ,THCS thị trấn Văn Điển CŨ
15045,Phan Dinh Phung Quan 3,Trường Tiểu Học Phan Đình Phùng,Tiểu Học Phan Đình Phùng
15046,Đại Học Harvard,Đại học Harvard,Đại học Harvard
15047,THCS Toàn Thắng.,Trường THCS Toàn Thắng,THCS Toàn Thắng
15048,TRường trung học cơ sở TrẦn Bá,Trường THCS Trần Bá,THCS Trần Bá
15049,thph tieu can,Trường THPT huyện Tiểu Cần,THPT huyện Tiểu Cần
15050,Trường THPT Cát Tiên,Trường THPT Cát Tiên,THPT Cát Tiên
15051,THCS Mỹ Thạnh,Trường THCS Mỹ Thạnh,THCS Mỹ Thạnh
15052,Th Pt Hoang Hoa Tham Da Nang,Trường THPT Hoàng Hoa Thám,THPT Hoàng Hoa Thám
15053,tam vu1,Trường THPT Tầm Vu,THPT Tầm Vu
15054,DH Y Duoc TPHCM,Đại học Y Dược Thành phố Hồ Chí Minh,Đại học Y Dược Thành phố Hồ Chí Minh
15055,The University of Texas at Dallas,Đại học Texas ở Dallas (University of Texas at Dallas),Đại học Texas ở Dallas
15056,Truong THPT ChuVanAn,Trường THPT Chu Văn An (Trường Bưởi),THPT Chu Văn An
15057,TRUONG THCS TRUONG CHINH,Trường THCS Trường Chinh,THCS Trường Chinh
15058,THCS Trường Chinh,Trường THCS Trường Chinh,THCS Trường Chinh
15059,BCIT: British Columbia Institute of Technology,Viện Công nghệ British Columbia (British Columbia Institute of Technology),Viện Công nghệ British Columbia
15060,Cao đẳng Sân Khấu Điện Ảnh TPHCM,Trường Đại học Sân khấu Điện ảnh Tp. Hồ Chí Minh,Đại học Sân khấu Điện ảnh Tp. Hồ Chí Minh
15061,Trường Tiểu học Trần Quang Cơ,Trường Tiểu Học Trần Quang Cơ Quận 12,Tiểu Học Trần Quang Cơ Quận 12
15062,Truong tieu hoc trần quang cơ,Trường Tiểu Học Trần Quang Cơ Quận 12,Tiểu Học Trần Quang Cơ Quận 12
15063,TTGDTX Hoc Mon,Trung Tâm Giáo Dục Thường Xuyên Huyện Hóc Môn,Giáo Dục Thường Xuyên Huyện Hóc Môn
15064,trường THPT Hồng Ngự 2,Trường THPT Hồng Ngự 2,THPT Hồng Ngự 2
15065,THPT LE VAN DAU,Trường THPT Lê Văn Thiêm,THPT Lê Văn Thiêm
15066,Truong trung hoc co so tan phu,Trường THCS Tân Phú,THCS Tân Phú
15067,Cựu Học Sinh Trường THCS Lý Tự Trọng - Gò Vấp,Trường Trung Học Cơ Sở Lý Tự Trọng,Trung Học Cơ Sở Lý Tự Trọng
15068,Thcs ai thuong,Trường THCS Ái Thượng,THCS Ái Thượng
15069,THCS Hồng Bàng,Trường THCS Hồng Bàng,THCS Hồng Bàng
15070,THPT Lưu Văn Liệt_Vĩnh Long 06,Trường THPT Lưu Văn Liệt,THPT Lưu Văn Liệt
15071,Blue Mountains International Hotel Management School,Trường Quản Lý Khách Sạn Quốc Tế Blue Mountains,Quản Lý Khách Sạn Quốc Tế Blue Mountains
