Column1,text,normed_text,clean_text
35752,vinacomin,Tập đoàn Công nghiệp Than - Khoáng sản Việt Nam,Tập đoàn Công nghiệp Than - Khoáng sản Việt Nam
35580,Cao dang cong nghiep viet duc-thai nguyen,Trường Cao đẳng Công nghiệp Việt Đức,CĐ Công nghiệp Việt Đức
36625,Trung cap nghe giao thong co dien quang ninh.,Trường Cao Đẳng Giao Thông Quảng Ninh,CĐ Giao Thông Quảng Ninh
35950,Cao Dang Nghe Tphcm,Cao Đẳng Nghề TP.HCM,CĐ Nghề TP.HCM
35986,Van Hoa Nghe Thuat Nam Dinh,Cao đẳng Văn hóa Nghệ thuật và Du Lịch Nam Định,CĐ Văn hóa Nghệ thuật và Du Lịch Nam Định
35209,Canh Sat vu trang T45,Trường Cao Đẳng Cảnh Sát Nhân Dân 1,CĐ Cảnh Sát Nhân Dân 1
36414,trung cap canh sat nd 2,Trường Cao Đẳng Cảnh Sát Nhân Dân 1,CĐ Cảnh Sát Nhân Dân 1
36039,Trug cap CSND II,Trường Cao Đẳng Cảnh Sát Nhân Dân 2 cơ sở 2,CĐ Cảnh Sát Nhân Dân 2
35531,Cao Dang Nghe Co Dien Ha Noi,Trường Cao Đẳng Cơ Điện Hà Nội,CĐ Cơ Điện Hà Nội
36486,Trường Cao Đẳng Nghề Cơ Điện Hà Nội,Trường Cao Đẳng Cơ Điện Hà Nội,CĐ Cơ Điện Hà Nội
36187,Hội sinh viên Trường Cao Đẳng Cơ điện và Nông nghiệp Nam Bộ,Trường Cao Đẳng Cơ Điện Và Nông Nghiệp Nam Bộ,CĐ Cơ Điện Và Nông Nghiệp Nam Bộ
35302,CĐ Cơ Điện và Thủy Lợi,Trường Cao Đẳng Cơ điện và Thủy lợi,CĐ Cơ điện và Thủy lợi
36295,Truong CD Co Dien Va Thuy Loi,Trường Cao Đẳng Cơ điện và Thủy lợi,CĐ Cơ điện và Thủy lợi
36747,CDN Cơ điện và Thủy Lợi,Trường Cao Đẳng Cơ điện và Thủy lợi,CĐ Cơ điện và Thủy lợi
35538,cao dang luyen kim,Trường Cao Đẳng Cơ khí - Luyện kim Thái Nguyên,CĐ Cơ khí - Luyện kim Thái Nguyên
35907,Truong cd co khi luyen kim thai nguyen,Trường Cao Đẳng Cơ Khí Luyện Kim,CĐ Cơ Khí Luyện Kim
35280,Cao Đẳng Nghề Cơ Khí Nông Nghiệp,Cao Đẳng cơ khí nông nghiệp,CĐ cơ khí nông nghiệp
36142,CĐ Nghề Cơ Khí Nông Nghiệp,Cao Đẳng cơ khí nông nghiệp,CĐ cơ khí nông nghiệp
36232,CD_nghề cơ khí nông nghiệp,Cao Đẳng cơ khí nông nghiệp,CĐ cơ khí nông nghiệp
35486,Trường Cao Đẳng Cộng đồng Bình Thuận,Trường Cao Đẳng Cộng Đồng Bình Thuận,CĐ Cộng Đồng Bình Thuận
35962,Trường Cao Đẳng sư phạm hưng yên,Trường Cao Đẳng Cộng Đồng Hưng Yên,CĐ Cộng Đồng Hưng Yên
36220,lilama2,Trường Cao Đẳng Công Nghệ Quốc Tế Lilama 2,CĐ Công Nghệ Quốc Tế Lilama 2
36279,Thuđưc college of technology,Trường Cao Đẳng Công nghệ Thủ Đức,CĐ Công nghệ Thủ Đức
35803,truong cao dang kinh te ki thuat vinatex,Trường Cao Đẳng Công Nghệ TP.HCM,CĐ Công Nghệ TP.HCM
36386,Cao Đẳng Ladec Long An,Trường Cao Đẳng Công nghệ và Du Lịch,CĐ Công nghệ và Du Lịch
35919,Cao Dang An Moi,Trường Cao Đẳng Công nghệ và Môi Trường Hà Nội,CĐ Công nghệ và Môi Trường Hà Nội
