,text,normed_text
0,Trường tiểu học Trần Quang Vinh,Trường Tiểu học Trần Quang Vinh
1,"Đại Học Văn Hóa Hà Nội,418 Đê La Thành",Trường Đại học Văn hóa Hà Nội
2,Foreign Trade University HCMC,Trường Đại học Ngoại thương Cơ sở II - TP. HCM
3,Truong THCS phan dinh phung,Trường THCS Phan Đình Phùng
4,THPT Nghĩa Hưng C-Nam Định,Trường THPT C Nghĩa Hưng
5,"Trường THCS Nhơn Bình,Quy Nhơn,Bình Định",Trường THCS Nhơn Bình
6,THCS Đức Trí Q1,Trường Trung Học Cơ Sở Đức Trí
7,Truong TTGDTX Quan 12,Trung Tâm Giáo Dục Thường Xuyên Quận 12
8,Trường THCS Mỹ Xuyên,Trường THCS Mỹ Xuyên
9,Homebush Boys High School,Homebush Boys High School
10,"Phan Chau Trinh high school, Danang, Vietnam",Trường THPT Phan Châu Trinh
11,Trường Đại học Văn khoa Sài Gòn,Trường Đại học Văn khoa Sài Gòn
12,Truong Cao Dang Dien Luc TP.HCM,Trường Cao đẳng Điện lực Thành phố Hồ Chí Minh
13,truong dh phu xuan,Trường Đại học Phú Xuân - city campus
14,THPT Hồng Ngự 2,Trường THPT Hồng Ngự 2
15,Truong Trung Hoc Co So Vinh Kim,Trường THCS Vĩnh Kim
16,trung hoc pho thong chau van liem,Trường Trung học Phổ thông Châu Văn Liêm
17,Trường Cao Đẳng Nghề Lý Tự Trọng,Trường Cao đẳng Lý Tự Trọng TP. Hồ Chí Minh
18,Saigon South International School,Trường Quốc tế Nam Sài Gòn
19,Fashion Institute of Technology,Fashion Institute of Technology
20,Đại Học Sài Gòn - Khoa SPMN,Trường Đại Học Sài Gòn - Khoa Sư Phạm Mầm Non
21,Trường THPT Trần Hữu Trang,Trường THPT Trần Hữu Trang
22,THCS Hoang Van Thu,Trường THCS Hoàng Văn Thụ
23,Trường THCS và THPT Khánh Hoà,Trường Thcs - Thpt Khánh Hòa
24,trường dạy nghề ẩm thực nestpace đà nẵng,"Dạy nghề Ẩm thực Netspace Đà Nẵng - Dạy học nấu ăn, Dạy học Pha chế, Dạy học làm bánh"
25,THCS Đồng Thái,Trường THCS Đông Thái
26,Trường THPT Minh Đài,Trường THPT Minh Đài
27,"THPT Châu Thành 2 ,Cái Tàu Hạ,Châu Thành,Đồng Tháp",Trường THPT Châu Thành 2
28,Trung cấp Y Dược Lê Hữu Trác,Trường Trung cấp Y Dược Lê Hữu Trác
29,THPT Hoang Dieu,Trường THPT Hoàng Diệu
30,Trường Cao đẳng Kinh tế kỹ thuật Miền nam - TP HCM,Trường Cao Đẳng Miền Nam
31,Singapore International School Vietnam,Singapore International School Van Phuc
32,THPT Gia Phù,Trường THPT Gia Phù
33,thptdl van hien,TRƯỜNG THPT VĂN HIẾN
34,Houston Community College,Trường Cao đẳng Cộng đồng Houston (Houston Community ...
